C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.18CEST01:53:01

maintype = G & redshift >0 & Distance.distance <  40 & Distance.distance  >= 30 & Distance.unit = Mpc
-----------------------------------------------------------------------------------------------------

Number of objects : 664

 # ;            identifier             ;typ;   radvel   ;  redshift  ;     cz     ;#dist; distance Q unit;  err-        err+     ; method ;     reference     
45 ;MCG+11-08-042                      ;G  ;4300        ;0.014448    ;4331.29     ;    1;   39.99    Mpc ;  -5.94       +5.94    ;T-F     ;2020ApJ...902..145K
46 ;IC 1254                            ;G  ;1204        ;0.004024    ;1206.43     ;    1;   32.66    Mpc ;  -3.67       +3.67    ;T-F     ;2020ApJ...902..145K
47 ;IC 2166                            ;G  ;2685        ;0.008997    ;2697.13     ;    1;   38.90    Mpc ;  -4.20       +4.20    ;T-F     ;2020ApJ...902..145K
48 ;UGC 8101                           ;G  ;1866        ;0.0062      ;1872        ;    1;   30.90    Mpc ;  -4.73       +4.73    ;T-F     ;2020ApJ...902..145K
49 ;UGC 4701                           ;G  ;1406        ;0.004701    ;1409.31     ;    1;   37.15    Mpc ;  -6.69       +6.69    ;T-F     ;2020ApJ...902..145K
50 ;UGC 4202                           ;G  ;2342        ;0.007843    ;2351.22     ;    1;   39.08    Mpc ;  -6.68       +6.68    ;T-F     ;2020ApJ...902..145K
51 ;UGC 3530                           ;G  ;2099        ;0.007026    ;2106.40     ;    1;   33.57    Mpc ;  -4.53       +4.53    ;T-F     ;2020ApJ...902..145K
52 ;UGC 10383                          ;G  ;2766        ;0.009269    ;2778.88     ;    1;   39.08    Mpc ;  -7.56       +7.56    ;T-F     ;2020ApJ...902..145K
53 ;NGC 5452                           ;G  ;2066        ;0.006915    ;2073.17     ;    1;   34.20    Mpc ;  -6.62       +6.62    ;T-F     ;2020ApJ...902..145K
54 ;UGC 5757                           ;G  ;1957        ;0.006549    ;1963.43     ;    1;   32.36    Mpc ;  -4.37       +4.37    ;T-F     ;2020ApJ...902..145K
55 ;UGC 5203                           ;G  ;1540        ;0.005150    ;1543.98     ;    1;   25.94    Mpc ;  -2.22       +2.22    ;T-F     ;2020ApJ...902..145K
56 ;NGC 2938                           ;G  ;2286        ;0.007655    ;2294.78     ;    1;   37.33    Mpc ;  -4.70       +4.70    ;T-F     ;2020ApJ...902..145K
57 ;UGC 4623                           ;G  ;3090        ;0.01036     ;3105.8      ;    1;   42.85    Mpc ;  -3.66       +3.66    ;T-F     ;2020ApJ...902..145K
58 ;UGC 4413                           ;G  ;2292        ;0.007675    ;2300.83     ;    1;   31.48    Mpc ;  -5.38       +5.38    ;T-F     ;2020ApJ...902..145K
59 ;UGC 4390                           ;G  ;2160        ;0.007232    ;2168.10     ;    1;   35       Mpc ;                       ;        ;2007ApJS..173..185G
60 ;2MASX J06593428+5931063            ;G  ;3296        ;0.011055    ;3314.32     ;    1;   43.45    Mpc ;                       ;        ;2016AJ....152...50T
61 ;UGC 10194                          ;G  ;871         ;0.002910    ;872.27      ;    1;   28.71    Mpc ;  -7.23       +7.23    ;T-F     ;2020ApJ...902..145K
62 ;UGC 10334                          ;G  ;3106        ;0.010415    ;3122.26     ;    1;   32.81    Mpc ;  -5.46       +5.46    ;T-F     ;2020ApJ...902..145K
63 ;NGC 3901                           ;G  ;1709        ;0.005717    ;1713.90     ;    1;   27.54    Mpc ;  -4.46       +4.46    ;T-F     ;2020ApJ...902..145K
64 ;UGC 4841                           ;G  ;1125        ;0.003759    ;1126.92     ;    1;   22.08    Mpc ;                       ;        ;2016AJ....152...50T
65 ;UGC 4378                           ;G  ;2225        ;0.007450    ;2233.32     ;    1;   32.21    Mpc ;  -4.93       +4.93    ;T-F     ;2020ApJ...902..145K
66 ;UGC 4024                           ;G  ;1716        ;0.005740    ;1720.94     ;    1;   31.62    Mpc ;  -4.84       +4.84    ;T-F     ;2020ApJ...902..145K
67 ;NGC 6125                           ;G  ;4590        ;0.015431    ;4626.10     ;    1;   33.4     Mpc ;                       ;        ;2008MNRAS.389.1924F
68 ;UGC 9855                           ;G  ;3481        ;0.011680    ;3501.45     ;    1;   32.06    Mpc ;  -4.18       +4.18    ;T-F     ;2020ApJ...902..145K
69 ;UGC 7844                           ;G  ;1825        ;0.006106    ;1830.59     ;    1;   30.20    Mpc ;  -7.75       +7.75    ;T-F     ;2020ApJ...902..145K
70 ;UGC 5689                           ;G  ;2827        ;0.009475    ;2840.46     ;    1;   48.31    Mpc ;  -6.52       +6.52    ;T-F     ;2020ApJ...902..145K
71 ;LEDA 91229                         ;G  ;1643        ;0.005496    ;1647.53     ;    1;   37.67    Mpc ;  -9.32       +9.32    ;T-F     ;2020ApJ...902..145K
72 ;UGC 6552                           ;G  ;2805        ;0.009401    ;2818.25     ;    1;   34.20    Mpc ;  -4.62       +4.62    ;T-F     ;2020ApJ...902..145K
73 ;UGC 3845                           ;G  ;3030        ;0.010159    ;3045.47     ;    1;   35.32    Mpc ;  -4.61       +4.61    ;T-F     ;2020ApJ...902..145K
74 ;NGC 5894                           ;G  ;2476        ;0.008293    ;2486.31     ;    1;   37.33    Mpc ;  -2.35       +2.35    ;T-F     ;2020ApJ...902..145K
75 ;UGC 8737                           ;G  ;1785        ;0.005972    ;1790.35     ;    1;   34.51    Mpc ;  -1.71       +1.71    ;T-F     ;2020ApJ...902..145K
76 ;NGC 4120                           ;G  ;2246        ;0.007520    ;2254.48     ;    1;   32.81    Mpc ;  -4.43       +4.43    ;T-F     ;2020ApJ...902..145K
77 ;UGC 5765                           ;G  ;1826        ;0.006110    ;1831.60     ;    1;   43.25    Mpc ;  -7.40       +7.40    ;T-F     ;2020ApJ...902..145K
78 ;UGC 4267                           ;G  ;2592        ;0.008684    ;2603.30     ;    1;   34.99    Mpc ;  -6.14       +6.14    ;T-F     ;2020ApJ...902..145K
79 ;MCG+08-14-034                      ;G  ;2952        ;0.009896    ;2966.68     ;    1;   31.92    Mpc ;  -3.73       +3.73    ;T-F     ;2020ApJ...902..145K
80 ;UGC 9638                           ;G  ;2273        ;0.00761     ;2281.4      ;    1;   33       Mpc ;  -6          +6       ;T-F     ;2008ApJ...676..184T
81 ;UGC 4415                           ;G  ;3591        ;0.01205     ;3612.5      ;    1;   44.26    Mpc ;  -7.17       +7.17    ;T-F     ;2020ApJ...902..145K
82 ;UGC 10095                          ;G  ;1857        ;0.006214    ;1862.79     ;    1;   28.44    Mpc ;  -4.48       +4.48    ;T-F     ;2020ApJ...902..145K
83 ;UGC 9741                           ;G  ;2472        ;0.00828     ;2482.3      ;    1;   39.6     Mpc ;                       ;redshift;2011MNRAS.413..813C
84 ;UGC 8988                           ;G  ;2077        ;0.006952    ;2084.24     ;    1;   32.06    Mpc ;  -3.61       +3.61    ;T-F     ;2020ApJ...902..145K
85 ;UGC 8571                           ;G  ;3096        ;0.010381    ;3112.15     ;    1;   38.90    Mpc ;  -2.63       +2.63    ;T-F     ;2020ApJ...902..145K
86 ;NGC 4238                           ;G  ;2765        ;0.009266    ;2777.87     ;    1;   38.90    Mpc ;  -5.60       +5.60    ;T-F     ;2020ApJ...902..145K
87 ;UGC 6080                           ;G  ;2180        ;0.007298    ;2187.98     ;    1;   34.04    Mpc ;  -5.51       +5.51    ;T-F     ;2020ApJ...902..145K
88 ;NGC 2710                           ;G  ;2523        ;0.008452    ;2533.71     ;    1;   38.55    Mpc ;  -3.12       +3.12    ;T-F     ;2020ApJ...902..145K
89 ;NGC 2701                           ;G  ;2328        ;0.007796    ;2337.11     ;    1;   32.96    Mpc ;  -4.75       +4.75    ;T-F     ;2020ApJ...902..145K
90 ;UGC 4800                           ;G  ;2433        ;0.008149    ;2442.95     ;    1;   46.56    Mpc ;  -4.40       +4.40    ;T-F     ;2020ApJ...902..145K
91 ;NGC 5783                           ;G  ;2337        ;0.007826    ;2346.18     ;    1;   38.02    Mpc ;  -5.99       +5.99    ;T-F     ;2020ApJ...902..145K
92 ;NGC 3589                           ;G  ;1969        ;0.006590    ;1975.51     ;    1;   31.05    Mpc ;  -5.73       +5.73    ;T-F     ;2020ApJ...902..145K
93 ;NGC 4141                           ;G  ;1900        ;0.006358    ;1906.06     ;    1;   54.20    Mpc ; -12.93      +12.93    ;T-F     ;2020ApJ...902..145K
94 ;UGC 6732                           ;G  ;2389        ;0.0080      ;2398        ;    1;   53.6     Mpc ;                       ;T-F     ;2011PASP..123.1011A
95 ;NGC 3488                           ;G  ;2995        ;0.010041    ;3010.11     ;    1;   42.66    Mpc ;  -5.37       +5.37    ;T-F     ;2020ApJ...902..145K
96 ;NGC 3398                           ;G  ;2890        ;0.0097      ;2904        ;    1;   39.99    Mpc ;  -4.14       +4.14    ;T-F     ;2020ApJ...902..145K
97 ;NGC 5950                           ;G  ;2599        ;0.008707    ;2610.36     ;    1;   36.14    Mpc ;  -5.53       +5.53    ;T-F     ;2020ApJ...902..145K
98 ;NGC 5481                           ;G  ;2065        ;0.006911    ;2071.87     ;    1;   30.8200  Mpc ;                       ;redshift;2019A&A...631A..38L
99 ;NGC 5480                           ;G  ;1907        ;0.00638     ;1912.7      ;    1;   30.5     Mpc ;  -3.60       +3.60    ;T-F     ;2011PASP..123.1011A
100;UGC 4922                           ;G  ;1992        ;0.006667    ;1998.66     ;    1;   39.99    Mpc ;  -4.32       +4.32    ;T-F     ;2020ApJ...902..145K
101;NGC 2712                           ;G  ;1793        ;0.0060      ;1799        ;    1;   31.19    Mpc ;  -3.79       +3.79    ;T-F     ;2020ApJ...902..145K
102;UGC 6162                           ;G  ;2207        ;0.007389    ;2215.18     ;    1;   34.83    Mpc ;  -3.76       +3.76    ;T-F     ;2020ApJ...902..145K
103;UGC 6074                           ;G  ;2883        ;0.00966     ;2897.0      ;    1;   38.0     Mpc ;  -7.10       +7.10    ;T-F     ;2011PASP..123.1011A
104;NGC 5708                           ;G  ;2723        ;0.009125    ;2735.48     ;    1;   30.90    Mpc ;  -2.64       +2.64    ;T-F     ;2020ApJ...902..145K
105;UGC 8642                           ;G  ;2420        ;0.008105    ;2429.85     ;    1;   32.36    Mpc ;                       ;        ;2016AJ....152...50T
106;UGC 7392                           ;G  ;803         ;0.002682    ;804.08      ;    1;   34.51    Mpc ;  -9.94       +9.94    ;T-F     ;2020ApJ...902..145K
107;NGC 5630                           ;G  ;2653        ;0.008889    ;2664.84     ;    1;   31.05    Mpc ;  -2.37       +2.37    ;T-F     ;2020ApJ...902..145K
108;UGC 8756                           ;G  ;1341        ;0.0045      ;1344        ;    1;   30.4789  Mpc ;                       ;redshift;2019A&A...631A..38L
109;LEDA 90649                         ;G  ;2985        ;0.010007    ;3000.01     ;    1;   34.20    Mpc ;  -3.85       +3.85    ;T-F     ;2020ApJ...902..145K
110;MCG-01-09-021                      ;G  ;2225.8      ;0.007452    ;2234.12     ;    1;   31.0     Mpc ;                       ;        ;2007ApJ...661..801O
111;MCG-03-09-027                      ;G  ;2008.6      ;0.006723    ;2015.37     ;    1;   27.67    Mpc ;  -4.23       +4.23    ;T-F     ;2020ApJ...902..145K
112;ESO 482-5                          ;G  ;1919.5      ;0.006423    ;1925.68     ;    1;   31.92    Mpc ;  -4.74       +4.74    ;T-F     ;2020ApJ...902..145K
113;ESO 548-82                         ;G  ;1730.9      ;0.005790    ;1735.93     ;    1;   35.16    Mpc ;  -8.23       +8.23    ;T-F     ;2020ApJ...902..145K
114;UGC 2854                           ;G  ;5663        ;0.019072    ;5717.51     ;    1;   38.37    Mpc ;  -7.25       +7.25    ;T-F     ;2020ApJ...902..145K
115;UGC 2966                           ;G  ;3571        ;0.011983    ;3592.52     ;    1;   37.15    Mpc ;  -3.85       +3.85    ;T-F     ;2020ApJ...902..145K
116;MCG-03-11-018                      ;G  ;1877        ;0.006281    ;1882.91     ;    1;   38.37    Mpc ;  -7.77       +7.77    ;T-F     ;2020ApJ...902..145K
117;UGC 3016                           ;G  ;5897        ;0.019868    ;5956.16     ;    1;   30.0500  Mpc ;                       ;redshift;2019A&A...631A..38L
118;UGC 3053                           ;G  ;2397        ;0.00803     ;2407.0      ;    1;   34.8     Mpc ;                       ;redshift;2011MNRAS.413..813C
119;Z 393-25                           ;G  ;3751        ;0.012591    ;3774.76     ;    1;   33.57    Mpc ;  -5.29       +5.29    ;T-F     ;2020ApJ...902..145K
120;ESO 422-5                          ;G  ;1465.1      ;0.004899    ;1468.70     ;    1;   26.06    Mpc ;                       ;        ;2016AJ....152...50T
121;ESO 486-3                          ;G  ;1765.0      ;0.005905    ;1770.23     ;    1;   31.62    Mpc ;  -4.98       +4.98    ;T-F     ;2020ApJ...902..145K
122;MCG-01-14-005                      ;G  ;3967        ;0.013321    ;3993.60     ;    1;   34.67    Mpc ;  -5.15       +5.15    ;T-F     ;2020ApJ...902..145K
123;UGCA 104                           ;G  ;1982.3      ;0.006634    ;1988.90     ;    1;   30.90    Mpc ;  -5.98       +5.98    ;T-F     ;2020ApJ...902..145K
124;ESO 553-17                         ;G  ;1949.4      ;0.006524    ;1955.78     ;    1;   33.42    Mpc ;  -6.92       +6.92    ;T-F     ;2020ApJ...902..145K
125;ESO 423-24                         ;G  ;3942        ;0.013236    ;3968.05     ;    1;   38.73    Mpc ;                       ;        ;2016AJ....152...50T
126;2MFGC 4746                         ;G  ;4044        ;0.013582    ;4071.65     ;    1;   30.76    Mpc ;  -2.77       +2.77    ;T-F     ;2020ApJ...902..145K
127;IC 2151                            ;G  ;3148        ;0.010556    ;3164.70     ;    1;   30.62    Mpc ;                       ;        ;2016AJ....152...50T
128;ESO 488-49                         ;G  ;1764.6      ;0.005903    ;1769.82     ;    1;   25.70    Mpc ;  -3.47       +3.47    ;T-F     ;2020ApJ...902..145K
129;UGC 3390                           ;G  ;1517        ;0.005073    ;1520.86     ;    1;   31.33    Mpc ;  -3.81       +3.81    ;T-F     ;2020ApJ...902..145K
130;2MFGC 4923                         ;G  ;2711        ;0.009084    ;2723.37     ;    1;   34.67    Mpc ;  -3.59       +3.59    ;T-F     ;2020ApJ...902..145K
131;2MFGC 4918                         ;G  ;2051        ;0.0069      ;2058        ;    1;   37.15    Mpc ;  -3.85       +3.85    ;T-F     ;2020ApJ...902..145K
132;MCG-02-16-002                      ;G  ;2215.2      ;0.007417    ;2223.44     ;    1;   24.10    Mpc ;  -1.52       +1.52    ;T-F     ;2020ApJ...902..145K
133;ESO 425-2                          ;G  ;1384.9      ;0.004630    ;1388.11     ;    1;   29.92    Mpc ;  -4.58       +4.58    ;T-F     ;2020ApJ...902..145K
134;2MASX J06180701+0136478            ;G  ;2883        ;0.009663    ;2897.00     ;    1;   38.02    Mpc ;  -7.36       +7.36    ;T-F     ;2020ApJ...902..145K
135;MCG-03-17-001                      ;G  ;2837.8      ;0.009511    ;2851.36     ;    1;   31.48    Mpc ;  -4.39       +4.39    ;T-F     ;2020ApJ...902..145K
136;ESO 556-12                         ;G  ;2573        ;0.008620    ;2584.14     ;    1;   59.98    Mpc ; -11.61      +11.61    ;T-F     ;2020ApJ...902..145K
137;MCG-03-17-005                      ;G  ;2747        ;0.00921     ;2760.0      ;    1;   35.32    Mpc ;                       ;        ;2016AJ....152...50T
138;ESO 490-7                          ;G  ;2844.8      ;0.009535    ;2858.43     ;    1;   34.67    Mpc ;  -6.55       +6.55    ;T-F     ;2020ApJ...902..145K
139;ESO 557-9                          ;G  ;2669.8      ;0.008946    ;2681.79     ;    1;   37.15    Mpc ;  -4.51       +4.51    ;T-F     ;2020ApJ...902..145K
140;NGC 2271                           ;G  ;2577        ;0.008633    ;2588.11     ;    1;   32.06    Mpc ;                       ;        ;2016AJ....152...50T
141;ESO 490-29                         ;G  ;2147        ;0.007187    ;2154.74     ;    1;   31.05    Mpc ;  -5.17       +5.17    ;T-F     ;2020ApJ...902..145K
142;ESO 366-9                          ;G  ;1990.5      ;0.006662    ;1997.15     ;    1;   34.99    Mpc ;                       ;        ;2016AJ....152...50T
143;ESO 490-42                         ;G  ;1758        ;0.005881    ;1763.18     ;    1;   37.33    Mpc ; -15.96      +15.96    ;T-F     ;2020ApJ...902..145K
144;ESO 427-8                          ;G  ;2795        ;0.009366    ;2807.86     ;    1;   38.19    Mpc ;                       ;        ;2016AJ....152...50T
145;UGC 3637                           ;G  ;3548        ;0.011906    ;3569.25     ;    1;   35.32    Mpc ;  -2.70       +2.70    ;T-F     ;2020ApJ...902..145K
146;UGC 3777                           ;G  ;3211        ;0.010769    ;3228.38     ;    1;   36.31    Mpc ;  -2.61       +2.61    ;T-F     ;2020ApJ...902..145K
147;2MASX J07093459-0525404            ;G  ;1722.3      ;0.005762    ;1727.28     ;    1;   29.79    Mpc ;  -3.48       +3.48    ;T-F     ;2020ApJ...902..145K
148;ESO 428-18                         ;G  ;2077        ;0.006952    ;2084.24     ;    1;   25.47    Mpc ;  -5.04       +5.04    ;T-F     ;2020ApJ...902..145K
149;UGC 3820                           ;G  ;2530        ;0.008475    ;2540.77     ;    1;   37.33    Mpc ;  -2.35       +2.35    ;T-F     ;2020ApJ...902..145K
150;UGC 3960                           ;G  ;2246        ;0.00752     ;2254.4      ;    1;   33.5063  Mpc ;                       ;redshift;2019A&A...631A..38L
151;UGC 3964                           ;G  ;1458.4      ;0.004877    ;1461.96     ;    1;   32.66    Mpc ;  -5.73       +5.73    ;T-F     ;2020ApJ...902..145K
152;ESO 560-4                          ;G  ;2177        ;0.007288    ;2184.96     ;    1;   38.19    Mpc ;  -3.27       +3.27    ;T-F     ;2020ApJ...902..145K
153;ESO 429-12                         ;G  ;2718.5      ;0.009109    ;2730.94     ;    1;   37.15    Mpc ;  -4.68       +4.68    ;T-F     ;2020ApJ...902..145K
154;UGC 4046                           ;G  ;4401        ;0.01479     ;4433.9      ;    1;   38.90    Mpc ;                       ;        ;2016AJ....152...50T
155;UGC 4010                           ;G  ;2767        ;0.009273    ;2779.89     ;    1;   35.65    Mpc ;  -2.09       +2.09    ;T-F     ;2020ApJ...902..145K
156;ESO 494-21                         ;G  ;1572.3      ;0.005258    ;1576.44     ;    1;   37.15    Mpc ;                       ;        ;2016AJ....152...50T
157;ESO 430-26                         ;G  ;1658.0      ;0.005546    ;1662.61     ;    1;   21.28    Mpc ;  -2.68       +2.68    ;T-F     ;2020ApJ...902..145K
158;UGC 4306                           ;G  ;2400        ;0.008038    ;2409.68     ;    1;   30.06    Mpc ;                       ;        ;2016AJ....152...50T
159;IC 2361                            ;G  ;2183        ;0.007308    ;2191.01     ;    1;   34.20    Mpc ;  -3.69       +3.69    ;T-F     ;2020ApJ...902..145K
160;UGC 4395                           ;G  ;2191        ;0.007335    ;2199.07     ;    1;   38.55    Mpc ;  -2.43       +2.43    ;T-F     ;2020ApJ...902..145K
161;Z 119-44                           ;G  ;3494        ;0.011723    ;3514.60     ;    1;   32.36    Mpc ;                       ;        ;2016AJ....152...50T
162;IC 2329                            ;G  ;2080        ;0.006962    ;2087.27     ;    1;   36.14    Mpc ;  -5.53       +5.53    ;T-F     ;2020ApJ...902..145K
163;IC 2327                            ;G  ;2680        ;0.008980    ;2692.09     ;    1;   49.20    Mpc ;  -3.10       +3.10    ;T-F     ;2020ApJ...902..145K
164;IC 2367                            ;G  ;2432.5      ;0.008147    ;2442.45     ;    1;   35.65    Mpc ;                       ;        ;2016AJ....152...50T
165;NGC 2594                           ;G  ;2381        ;0.007974    ;2390.53     ;    1;   35.1     Mpc ;                       ;redshift;2011MNRAS.413..813C
166;UGC 4444                           ;G  ;2083        ;0.006972    ;2090.29     ;    1;   35.48    Mpc ;  -3.99       +3.99    ;T-F     ;2020ApJ...902..145K
167;MCG-01-22-014                      ;G  ;1520.7      ;0.005085    ;1524.58     ;    1;   32.51    Mpc ;  -5.56       +5.56    ;T-F     ;2020ApJ...902..145K
168;ESO 562-19                         ;G  ;1774        ;0.005935    ;1779.28     ;    1;   31.48    Mpc ;  -5.10       +5.10    ;T-F     ;2020ApJ...902..145K
169;ESO 431-16                         ;G  ;2806        ;0.009404    ;2819.26     ;    1;   42.85    Mpc ;  -7.52       +7.52    ;T-F     ;2020ApJ...902..145K
170;ESO 431-13                         ;G  ;2825        ;0.009467    ;2838.14     ;    1;   38.02    Mpc ;                       ;        ;2008ApJ...676..184T
171;LEDA 87424                         ;G  ;2338        ;0.007829    ;2347.19     ;    1;   35.91    Mpc ;  -2.07       +2.07    ;redshift;2015ApJ...809..146B
