C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.18CEST01:53:29

maintype = G & redshift >0 & Distance.distance <  50 & Distance.distance  >= 40 & Distance.unit = Mpc
-----------------------------------------------------------------------------------------------------

Number of objects : 692

 # ;            identifier             ;typ;   radvel   ;  redshift  ;     cz     ;#dist; distance Q unit;  err-        err+     ; method ;     reference     
49 ;UGC 3864                           ;G  ;2616        ;0.008764    ;2627.51     ;    1;   43.05    Mpc ;  -5.62       +5.62    ;T-F     ;2020ApJ...902..145K
50 ;UGC 3657                           ;G  ;3257        ;0.010924    ;3274.89     ;    1;   42.27    Mpc ;  -9.70       +9.70    ;T-F     ;2020ApJ...902..145K
51 ;UGC 3921                           ;G  ;2486        ;0.008327    ;2496.39     ;    1;   49.20    Mpc ;  -7.97       +7.97    ;T-F     ;2020ApJ...902..145K
52 ;UGC 3764                           ;G  ;4110        ;0.013805    ;4138.56     ;    1;   52.00    Mpc ;  -7.49       +7.49    ;T-F     ;2020ApJ...902..145K
53 ;UGC 8964                           ;G  ;6875        ;0.023202    ;6955.67     ;    1;   46.99    Mpc ;  -8.04       +8.04    ;T-F     ;2020ApJ...902..145K
54 ;NGC 2938                           ;G  ;2286        ;0.007655    ;2294.78     ;    1;   37.33    Mpc ;  -4.70       +4.70    ;T-F     ;2020ApJ...902..145K
55 ;UGC 4623                           ;G  ;3090        ;0.01036     ;3105.8      ;    1;   42.85    Mpc ;  -3.66       +3.66    ;T-F     ;2020ApJ...902..145K
56 ;UGC 4502                           ;G  ;3286        ;0.011022    ;3304.21     ;    1;   43.65    Mpc ;  -5.89       +5.89    ;T-F     ;2020ApJ...902..145K
57 ;UGC 3919                           ;G  ;4866        ;0.016365    ;4906.14     ;    1;   75.86    Mpc ;  -9.22       +9.22    ;T-F     ;2020ApJ...902..145K
58 ;2MASX J06593428+5931063            ;G  ;3296        ;0.011055    ;3314.32     ;    1;   43.45    Mpc ;                       ;        ;2016AJ....152...50T
59 ;IC 1210                            ;G  ;2881        ;0.009657    ;2894.98     ;    1;   44.06    Mpc ;  -3.17       +3.17    ;T-F     ;2020ApJ...902..145K
60 ;UGC 3991                           ;G  ;4083        ;0.013713    ;4111.19     ;    1;   51.52    Mpc ;  -8.11       +8.11    ;T-F     ;2020ApJ...902..145K
61 ;UGC 5686                           ;G  ;2797        ;0.009373    ;2809.95     ;    1;   43.1595  Mpc ;                       ;redshift;2019A&A...631A..38L
62 ;UGC 5570                           ;G  ;2724        ;0.009128    ;2736.49     ;    1;   43.9700  Mpc ;                       ;redshift;2019A&A...631A..38L
63 ;UGC 5689                           ;G  ;2827        ;0.009475    ;2840.46     ;    1;   48.31    Mpc ;  -6.52       +6.52    ;T-F     ;2020ApJ...902..145K
64 ;NGC 2810                           ;G  ;3508        ;0.011771    ;3528.86     ;    1;   49.7     Mpc ;                       ;        ;2008MNRAS.389.1924F
65 ;NGC 2469                           ;G  ;3482        ;0.011683    ;3502.46     ;    1;   41.69    Mpc ;  -7.88       +7.88    ;T-F     ;2020ApJ...902..145K
66 ;UGC 3845                           ;G  ;3030        ;0.010159    ;3045.47     ;    1;   35.32    Mpc ;  -4.61       +4.61    ;T-F     ;2020ApJ...902..145K
67 ;NGC 5894                           ;G  ;2476        ;0.008293    ;2486.31     ;    1;   37.33    Mpc ;  -2.35       +2.35    ;T-F     ;2020ApJ...902..145K
68 ;UGC 8737                           ;G  ;1785        ;0.005972    ;1790.35     ;    1;   34.51    Mpc ;  -1.71       +1.71    ;T-F     ;2020ApJ...902..145K
69 ;NGC 4034                           ;G  ;2370        ;0.007937    ;2379.44     ;    1;   50.82    Mpc ;  -9.83       +9.83    ;T-F     ;2020ApJ...902..145K
70 ;UGC 5765                           ;G  ;1826        ;0.006110    ;1831.60     ;    1;   43.25    Mpc ;  -7.40       +7.40    ;T-F     ;2020ApJ...902..145K
71 ;UGC 5244                           ;G  ;3025        ;0.010142    ;3040.42     ;    1;   49.20    Mpc ;  -6.64       +6.64    ;T-F     ;2020ApJ...902..145K
72 ;UGC 4727                           ;G  ;3241        ;0.010870    ;3258.71     ;    1;   49.43    Mpc ;  -3.78       +3.78    ;T-F     ;2020ApJ...902..145K
73 ;UGC 3949                           ;G  ;6380        ;0.021513    ;6449.36     ;    1;   45.92    Mpc ;                       ;        ;2016AJ....152...50T
74 ;LEDA 90973                         ;G  ;1709        ;0.005717    ;1713.90     ;    1;   42.46    Mpc ; -10.13      +10.13    ;T-F     ;2020ApJ...902..145K
75 ;UGC 4415                           ;G  ;3591        ;0.01205     ;3612.5      ;    1;   44.26    Mpc ;  -7.17       +7.17    ;T-F     ;2020ApJ...902..145K
76 ;UGC 9080                           ;G  ;3048        ;0.01022     ;3063.9      ;    1;   46.13    Mpc ;  -4.77       +4.77    ;T-F     ;2020ApJ...902..145K
77 ;UGC 8571                           ;G  ;3096        ;0.010381    ;3112.15     ;    1;   38.90    Mpc ;  -2.63       +2.63    ;T-F     ;2020ApJ...902..145K
78 ;UGC 7848                           ;G  ;2499        ;0.008371    ;2509.50     ;    1;   51.76    Mpc ;  -4.89       +4.89    ;T-F     ;2020ApJ...902..145K
79 ;UGC 7179                           ;G  ;2625        ;0.0088      ;2637        ;    1;   41.3     Mpc ;                       ;redshift;2011MNRAS.413..813C
80 ;UGC 7153                           ;G  ;2608        ;0.008738    ;2619.44     ;    1;   41.69    Mpc ;  -3.75       +3.75    ;T-F     ;2020ApJ...902..145K
81 ;NGC 2870                           ;G  ;3189        ;0.010695    ;3206.28     ;    1;   45.29    Mpc ;  -4.28       +4.28    ;T-F     ;2020ApJ...902..145K
82 ;NGC 2710                           ;G  ;2523        ;0.008452    ;2533.71     ;    1;   38.55    Mpc ;  -3.12       +3.12    ;T-F     ;2020ApJ...902..145K
83 ;UGC 4800                           ;G  ;2433        ;0.008149    ;2442.95     ;    1;   46.56    Mpc ;  -4.40       +4.40    ;T-F     ;2020ApJ...902..145K
84 ;NGC 5783                           ;G  ;2337        ;0.007826    ;2346.18     ;    1;   38.02    Mpc ;  -5.99       +5.99    ;T-F     ;2020ApJ...902..145K
85 ;UGC 8282                           ;G  ;2064        ;0.006909    ;2071.15     ;    1;   40.18    Mpc ;  -3.44       +3.44    ;T-F     ;2020ApJ...902..145K
86 ;UGC 9448                           ;G  ;2193        ;0.007342    ;2201.08     ;    1;   43.05    Mpc ;  -4.07       +4.07    ;T-F     ;2020ApJ...902..145K
87 ;NGC 4141                           ;G  ;1900        ;0.006358    ;1906.06     ;    1;   54.20    Mpc ; -12.93      +12.93    ;T-F     ;2020ApJ...902..145K
88 ;UGC 6732                           ;G  ;2389        ;0.0080      ;2398        ;    1;   53.6     Mpc ;                       ;T-F     ;2011PASP..123.1011A
89 ;NGC 3488                           ;G  ;2995        ;0.010041    ;3010.11     ;    1;   42.66    Mpc ;  -5.37       +5.37    ;T-F     ;2020ApJ...902..145K
90 ;UGC 4844                           ;G  ;3958        ;0.01329     ;3984.2      ;    1;   45.92    Mpc ;  -6.20       +6.20    ;T-F     ;2020ApJ...902..145K
91 ;NGC 5950                           ;G  ;2599        ;0.008707    ;2610.36     ;    1;   36.14    Mpc ;  -5.53       +5.53    ;T-F     ;2020ApJ...902..145K
92 ;UGC 6774                           ;G  ;2419        ;0.008102    ;2428.84     ;    1;   48.53    Mpc ;  -5.46       +5.46    ;T-F     ;2020ApJ...902..145K
93 ;Mrk 153                            ;G  ;2450        ;0.008206    ;2460.10     ;    1;   40.5     Mpc ;                       ;        ;2000ApJ...529..786M
94 ;UGC 9422                           ;G  ;3288        ;0.01103     ;3306.7      ;    1;   53.21    Mpc ;  -3.83       +3.83    ;T-F     ;2020ApJ...902..145K
95 ;UGC 4982                           ;G  ;2659        ;0.008909    ;2670.90     ;    1;   43.65    Mpc ;  -3.54       +3.54    ;T-F     ;2020ApJ...902..145K
96 ;MCG+08-17-102                      ;G  ;2630        ;0.00881     ;2641.2      ;    1;   40.6     Mpc ;                       ;redshift;2011MNRAS.413..813C
97 ;UGC 7358                           ;G  ;3656        ;0.012270    ;3678.57     ;    1;   47.42    Mpc ;  -4.27       +4.27    ;T-F     ;2020ApJ...902..145K
98 ;UGC 6535                           ;G  ;3137        ;0.010519    ;3153.59     ;    1;   48.98    Mpc ;  -5.95       +5.95    ;T-F     ;2020ApJ...902..145K
99 ;UGC 5283                           ;G  ;4529        ;0.015223    ;4563.74     ;    1;   45.08    Mpc ;                       ;        ;2016AJ....152...50T
100;NGC 5630                           ;G  ;2653        ;0.008889    ;2664.84     ;    1;   31.05    Mpc ;  -2.37       +2.37    ;T-F     ;2020ApJ...902..145K
101;Mrk 1484                           ;G  ;2464        ;0.008252    ;2473.89     ;    1;   41.8     Mpc ;                       ;redshift;2011MNRAS.413..813C
102;LEDA 2816653                       ;G  ;23114       ;0.0803      ;24078       ;    1;   42.5     Mpc ;                       ;T-F     ;2011PASP..123.1011A
103;UGC 4970                           ;G  ;2409        ;0.008068    ;2418.76     ;    1;   45.50    Mpc ;  -4.71       +4.71    ;T-F     ;2020ApJ...902..145K
104;Mrk 1068                           ;G  ;5191        ;0.017468    ;5236.73     ;    1;   50.58    Mpc ;  -4.10       +4.10    ;T-F     ;2020ApJ...902..145K
105;UGC 2479                           ;G  ;2865.4      ;0.009604    ;2879.23     ;    1;   50.35    Mpc ;  -3.40       +3.40    ;T-F     ;2020ApJ...902..145K
106;NGC 1211                           ;G  ;3219.6      ;0.010798    ;3237.08     ;    1;   28.71    Mpc ;                       ;        ;2016AJ....152...50T
107;NGC 1234                           ;G  ;3728.0      ;0.012514    ;3751.47     ;    1;   45.92    Mpc ;  -5.17       +5.17    ;T-F     ;2020ApJ...902..145K
108;ESO 547-11                         ;G  ;2220.3      ;0.007434    ;2228.58     ;    1;   43.05    Mpc ; -11.62      +11.62    ;T-F     ;2020ApJ...902..145K
109;ESO 547-4                          ;G  ;3322        ;0.011143    ;3340.61     ;    1;   49.66    Mpc ;                       ;        ;2016AJ....152...50T
110;ESO 546-37                         ;G  ;4350        ;0.014617    ;4382.02     ;    1;   46.34    Mpc ; -11.26      +11.26    ;T-F     ;2020ApJ...902..145K
111;MCG+02-09-002                      ;G  ;4759        ;0.016002    ;4797.38     ;    1;   45.50    Mpc ;  -3.89       +3.89    ;T-F     ;2020ApJ...902..145K
112;NGC 1285                           ;G  ;5198        ;0.01749     ;5243.4      ;    1;   45.71    Mpc ;  -5.35       +5.35    ;T-F     ;2020ApJ...902..145K
113;ESO 548-12                         ;G  ;4351        ;0.014620    ;4383.04     ;    1;   40.36    Mpc ;  -9.08       +9.08    ;T-F     ;2020ApJ...902..145K
114;UGC 2786                           ;G  ;5808        ;0.019565    ;5865.37     ;    1;   47.21    Mpc ;                       ;        ;2016AJ....152...50T
115;UGCA 80                            ;G  ;3091        ;0.010364    ;3107.10     ;    1;   42       Mpc ;                       ;        ;2007ApJS..173..185G
116;ESO 548-82                         ;G  ;1730.9      ;0.005790    ;1735.93     ;    1;   35.16    Mpc ;  -8.23       +8.23    ;T-F     ;2020ApJ...902..145K
117;ESO 548-40                         ;G  ;4051.5      ;0.013607    ;4079.25     ;    1;   46.13    Mpc ; -10.59      +10.59    ;T-F     ;2020ApJ...902..145K
118;MCG-01-10-044                      ;G  ;4082.7      ;0.013712    ;4110.88     ;    1;   45.50    Mpc ;  -4.50       +4.50    ;T-F     ;2020ApJ...902..145K
119;UGC 2910                           ;G  ;5507        ;0.018541    ;5558.52     ;    1;   48.75    Mpc ;  -7.24       +7.24    ;T-F     ;2020ApJ...902..145K
120;6dFGS gJ035727.7-031501            ;G  ;4097        ;0.013761    ;4125.38     ;    1;   47.86    Mpc ;  -7.11       +7.11    ;T-F     ;2020ApJ...902..145K
121;LEDA 86266                         ;G  ;4662        ;0.015674    ;4698.82     ;    1;   48.75    Mpc ;  -4.61       +4.61    ;T-F     ;2020ApJ...902..145K
122;UGC 2988                           ;G  ;3822        ;0.012831    ;3846.68     ;    1;   43.45    Mpc ;  -2.54       +2.54    ;T-F     ;2020ApJ...902..145K
123;UGC 2966                           ;G  ;3571        ;0.011983    ;3592.52     ;    1;   37.15    Mpc ;  -3.85       +3.85    ;T-F     ;2020ApJ...902..145K
124;UGC 2982                           ;G  ;5318        ;0.017899    ;5366.02     ;    1;   54.70    Mpc ;  -3.69       +3.69    ;T-F     ;2020ApJ...902..145K
125;UGC 3002                           ;G  ;3584        ;0.012027    ;3605.68     ;    1;   53.46    Mpc ; -10.34      +10.34    ;T-F     ;2020ApJ...902..145K
126;UGC 3010                           ;G  ;3864        ;0.012973    ;3889.23     ;    1;   42.27    Mpc ;  -4.18       +4.18    ;T-F     ;2020ApJ...902..145K
127;UGC 3054                           ;G  ;3894        ;0.013074    ;3919.62     ;    1;   46.99    Mpc ;  -8.04       +8.04    ;T-F     ;2020ApJ...902..145K
128;NGC 1656                           ;G  ;3823        ;0.012836    ;3848.14     ;    1;   43.25    Mpc ;                       ;        ;2016AJ....152...50T
129;2MASX J04562861+2200371            ;G  ;5061        ;0.017027    ;5104.45     ;    1;   45.92    Mpc ;  -7.44       +7.44    ;T-F     ;2020ApJ...902..145K
130;MCG-01-13-033                      ;G  ;4577.3      ;0.015387    ;4612.78     ;    1;   41.30    Mpc ;  -6.88       +6.88    ;T-F     ;2020ApJ...902..145K
131;MCG-03-13-042                      ;G  ;3445.1      ;0.011558    ;3465.12     ;    1;   40.93    Mpc ;                       ;        ;2016AJ....152...50T
132;NGC 1799                           ;G  ;4411        ;0.01482     ;4444.0      ;    1;   49.89    Mpc ;                       ;        ;2016AJ....152...50T
133;IC 401                             ;G  ;3349.2      ;0.011235    ;3368.12     ;    1;   41.69    Mpc ;  -3.94       +3.94    ;T-F     ;2020ApJ...902..145K
134;MCG-02-14-006                      ;G  ;2576        ;0.008630    ;2587.16     ;    1;   41.88    Mpc ;  -5.65       +5.65    ;T-F     ;2020ApJ...902..145K
135;MCG-03-13-063                      ;G  ;3321        ;0.011141    ;3339.99     ;    1;   47.7     Mpc ;                       ;        ;2007ApJ...661..801O
136;ESO 553-17                         ;G  ;1949.4      ;0.006524    ;1955.78     ;    1;   33.42    Mpc ;  -6.92       +6.92    ;T-F     ;2020ApJ...902..145K
137;MCG-02-14-015                      ;G  ;2471        ;0.008276    ;2481.08     ;    1;   52.24    Mpc ;                       ;        ;2016AJ....152...50T
138;2MASX J05361263-1514382            ;G  ;3209.0      ;0.010762    ;3226.36     ;    1;   41.11    Mpc ;  -7.03       +7.03    ;T-F     ;2020ApJ...902..145K
139;ESO 554-18                         ;G  ;2861        ;0.009589    ;2874.78     ;    1;   45.08    Mpc ;  -5.27       +5.27    ;T-F     ;2020ApJ...902..145K
140;ESO 487-30                         ;G  ;1491.6      ;0.004988    ;1495.33     ;    1;   43.85    Mpc ;  -9.87       +9.87    ;T-F     ;2020ApJ...902..145K
141;ESO 423-24                         ;G  ;3942        ;0.013236    ;3968.05     ;    1;   38.73    Mpc ;                       ;        ;2016AJ....152...50T
142;2MFGC 4796                         ;G  ;3496        ;0.011730    ;3516.62     ;    1;   50.12    Mpc ;  -2.93       +2.93    ;T-F     ;2020ApJ...902..145K
143;IC 2150                            ;G  ;3109.9      ;0.010428    ;3126.20     ;    1;   43.85    Mpc ;  -2.57       +2.57    ;T-F     ;2020ApJ...902..145K
144;UGC 3407                           ;G  ;3605        ;0.012098    ;3626.94     ;    1;   46.99    Mpc ;  -6.98       +6.98    ;T-F     ;2020ApJ...902..145K
145;ESO 555-29                         ;G  ;2893        ;0.009697    ;2907.09     ;    1;   46.56    Mpc ;  -4.40       +4.40    ;T-F     ;2020ApJ...902..145K
146;ESO 489-11                         ;G  ;2783        ;0.009327    ;2796.04     ;    1;   49.66    Mpc ;                       ;        ;2016AJ....152...50T
147;ESO 556-12                         ;G  ;2573        ;0.008620    ;2584.14     ;    1;   59.98    Mpc ; -11.61      +11.61    ;T-F     ;2020ApJ...902..145K
148;MCG-03-17-005                      ;G  ;2747        ;0.00921     ;2760.0      ;    1;   35.32    Mpc ;                       ;        ;2016AJ....152...50T
149;UGC 3498                           ;G  ;3797.33     ;0.012748    ;3821.69     ;    1;   51.05    Mpc ;  -2.76       +2.76    ;T-F     ;2020ApJ...902..145K
150;UGC 3524                           ;G  ;3904.91     ;0.013111    ;3930.68     ;    1;   51.76    Mpc ;  -3.26       +3.26    ;T-F     ;2020ApJ...902..145K
151;UGC 3534                           ;G  ;4464        ;0.015003    ;4497.74     ;    1;   49.20    Mpc ;  -6.64       +6.64    ;T-F     ;2020ApJ...902..145K
152;IC 454                             ;G  ;3950        ;0.013264    ;3976.37     ;    1;   45.92    Mpc ;  -3.10       +3.10    ;T-F     ;2020ApJ...902..145K
153;ESO 490-44                         ;G  ;2177.5      ;0.007290    ;2185.47     ;    1;   44.26    Mpc ;  -8.56       +8.56    ;T-F     ;2020ApJ...902..145K
154;ESO 491-11                         ;G  ;2353        ;0.007880    ;2362.31     ;    1;   49.43    Mpc ; -10.90      +10.90    ;T-F     ;2020ApJ...902..145K
155;UGC 3761                           ;G  ;3350        ;0.011238    ;3368.93     ;    1;   46.99    Mpc ;                       ;        ;2016AJ....152...50T
156;UGC 3808                           ;G  ;2389        ;0.008001    ;2398.60     ;    1;   40.93    Mpc ;  -7.37       +7.37    ;T-F     ;2020ApJ...902..145K
157;UGC 3820                           ;G  ;2530        ;0.008475    ;2540.77     ;    1;   37.33    Mpc ;  -2.35       +2.35    ;T-F     ;2020ApJ...902..145K
158;ESO 492-10                         ;G  ;3389.6      ;0.011371    ;3408.98     ;    1;   40.36    Mpc ;  -3.81       +3.81    ;T-F     ;2020ApJ...902..145K
159;UGC 3887                           ;G  ;4741        ;0.015941    ;4779.09     ;    1;   41.69    Mpc ; -10.13      +10.13    ;T-F     ;2020ApJ...902..145K
160;UGC 3937                           ;G  ;3994        ;0.013412    ;4020.96     ;    1;   46.99    Mpc ;  -3.59       +3.59    ;T-F     ;2020ApJ...902..145K
161;ESO 560-4                          ;G  ;2177        ;0.007288    ;2184.96     ;    1;   38.19    Mpc ;  -3.27       +3.27    ;T-F     ;2020ApJ...902..145K
162;NGC 2435                           ;G  ;4205        ;0.014126    ;4234.91     ;    1;   43.25    Mpc ;  -3.70       +3.70    ;T-F     ;2020ApJ...902..145K
163;UGC 4010                           ;G  ;2767        ;0.009273    ;2779.89     ;    1;   35.65    Mpc ;  -2.09       +2.09    ;T-F     ;2020ApJ...902..145K
164;ESO 560-13                         ;G  ;3239        ;0.010863    ;3256.69     ;    1;   44.87    Mpc ;  -2.63       +2.63    ;T-F     ;2020ApJ...902..145K
165;ESO 560-12                         ;G  ;3287.0      ;0.011025    ;3305.22     ;    1;   46.34    Mpc ;  -3.34       +3.34    ;T-F     ;2020ApJ...902..145K
166;2MFGC 6092                         ;G  ;3057.7      ;0.010252    ;3073.45     ;    1;   44.67    Mpc ;  -3.62       +3.62    ;T-F     ;2020ApJ...902..145K
167;LEDA 90801                         ;G  ;3878        ;0.013020    ;3903.41     ;    1;   48.31    Mpc ;  -6.74       +6.74    ;T-F     ;2020ApJ...902..145K
168;UGC 4176                           ;G  ;3072        ;0.01030     ;3087.9      ;    1;   44.46    Mpc ;  -5.40       +5.40    ;T-F     ;2020ApJ...902..145K
169;LEDA 90808                         ;G  ;4760        ;0.016006    ;4798.40     ;    1;   43.25    Mpc ;  -7.40       +7.40    ;T-F     ;2020ApJ...902..145K
170;IC 480                             ;G  ;4617        ;0.015521    ;4653.11     ;    1;   51.76    Mpc ;  -3.03       +3.03    ;T-F     ;2020ApJ...902..145K
