C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.18CEST01:48:49

maintype = G & redshift >0 & Distance.distance <  5 & Distance.unit = Mpc
-------------------------------------------------------------------------

Number of objects : 122

 # ;            identifier             ;typ;  radvel   ;  redshift  ;    cz     ;#dist; distance Q unit;  err-        err+     ; method ;     reference     
14 ;NAME M 81 Dwarf A                  ;G  ;114        ;0.000380    ;113.92     ;    1;    3.44    Mpc ;                       ;T-F     ;2011ApJS..192....6L
15 ;UGC 5336                           ;G  ;64         ;0.000213    ;63.86      ;    1;    3.61    Mpc ;                       ;T-F     ;2011ApJS..192....6L
16 ;NAME Arp Loop                      ;G  ;100        ;0.000334    ;100.02     ;    1;    3.78    Mpc ;                       ;T-F     ;2011ApJS..192....6L
17 ;HIJASS J1021+68                    ;G  ;46         ;0.000153    ;46.00      ;    1;    3.70    Mpc ;                       ;redshift;2018MNRAS.479.4136K
18 ;UGC 8201                           ;G  ;35         ;0.000117    ;35.08      ;    1;    4.57    Mpc ;                       ;T-F     ;2011ApJS..192....6L
19 ;LEDA 30664                         ;G  ;2657       ;0.008903    ;2669.05    ;    1;    3.66    Mpc ;                       ;T-F     ;2011ApJS..192....6L
20 ;IC 2574                            ;G  ;48         ;0.000160    ;48.00      ;    1;    3.81    Mpc ;                       ;T-F     ;2011ApJS..192....6L
21 ;LEDA 28826                         ;G  ;77         ;0.000257    ;77.01      ;    1;    3.82    Mpc ;                       ;redshift;2018MNRAS.479.4136K
22 ;UGC 7242                           ;G  ;76         ;0.000254    ;76.15      ;    1;    5.42    Mpc ;                       ;T-F     ;2011ApJS..192....6L
23 ;UGC 5497                           ;G  ;185        ;0.000617    ;185.06     ;    1;    3.73    Mpc ;                       ;redshift;2018MNRAS.479.4136K
24 ;UGC 6757                           ;G  ;82         ;0.000274    ;82.01      ;    1;    4.61    Mpc ;                       ;redshift;2018MNRAS.479.4136K
25 ;UGC 8508                           ;G  ;56.0       ;0.000187    ;56.01      ;    1;    2.58    Mpc ;                       ;T-F     ;2011ApJS..192....6L
26 ;UGC 9240                           ;G  ;150.0      ;0.000500    ;150.04     ;    1;    2.79    Mpc ;                       ;T-F     ;2011ApJS..192....6L
27 ;MCG+09-20-131                      ;G  ;153        ;0.00051     ;152.9      ;    1;    3.20    Mpc ;                       ;T-F     ;2011ApJS..192....6L
28 ;NGC 4068                           ;G  ;208        ;0.000694    ;208.07     ;    1;    4.31    Mpc ;                       ;T-F     ;2011ApJS..192....6L
29 ;UGC 8215                           ;G  ;218        ;0.000727    ;217.95     ;    1;    4.55    Mpc ;                       ;T-F     ;2011ApJS..192....6L
30 ;UGC 8331                           ;G  ;261        ;0.000871    ;261.11     ;    1;    8.20    Mpc ;                       ;T-F     ;2011ApJS..192....6L
31 ;UGC 8320                           ;G  ;195        ;0.000650    ;194.87     ;    1;    4.33    Mpc ;                       ;T-F     ;2011ApJS..192....6L
32 ;UGC 8308                           ;G  ;165        ;0.000551    ;165.05     ;    1;    4.19    Mpc ;                       ;T-F     ;2011ApJS..192....6L
33 ;NGC 3741                           ;G  ;235        ;0.00078     ;235.0      ;    1;    3.24    Mpc ;                       ;T-F     ;2011ApJS..192....6L
34 ;ESO 489-56                         ;G  ;491.5      ;0.001641    ;491.90     ;    1;    6.31    Mpc ;                       ;redshift;2018MNRAS.479.4136K
35 ;ESO 490-17                         ;G  ;499.2      ;0.001667    ;499.62     ;    1;    6.34    Mpc ;                       ;redshift;2018MNRAS.479.4136K
36 ;LEDA 2807061                       ;G  ;322.6      ;0.001077    ;322.77     ;    1;    1.67    Mpc ;                       ;T-RDB   ;2017AJ....153....6K
37 ;2MASS J07252197-2428299            ;G  ;816.8      ;0.002728    ;817.92     ;    1;    4.11    Mpc ;                       ;        ;2016AJ....152...50T
38 ;ESO 290-28                         ;G  ;928.2      ;0.003101    ;929.64     ;    1;   13.4     Mpc ;                       ;        ;2007ApJ...661..801O
39 ;ESO 294-10                         ;G  ;117.0      ;0.000390    ;117.02     ;    1;    1.94    Mpc ;                       ;T-F     ;2011ApJS..192....6L
40 ;NAME Fornax Dwarf Spheroidal       ;G  ;55.3       ;0.000184    ;55.31      ;    1;  147       kpc ;                       ;        ;2020ApJ...893...47D
41 ;NAME Sculptor dIG                  ;G  ;218        ;0.000727    ;217.95     ;    1;    3.21    Mpc ;                       ;T-F     ;2011ApJS..192....6L
42 ;NAME Sculptor Dwarf Galaxy         ;G  ;111.4      ;0.000372    ;111.42     ;    1;   84       kpc ;                       ;        ;2020ApJ...893...47D
43 ;ESO 468-20                         ;G  ;92         ;0.000307    ;92.01      ;    1;    2.24    Mpc ;                       ;redshift;2018MNRAS.479.4136K
44 ;ESO 407-18                         ;G  ;62.0       ;0.000207    ;62.01      ;    1;    2.18    Mpc ;                       ;T-F     ;2011ApJS..192....6L
45 ;ESO 471-6                          ;G  ;267        ;0.000891    ;267.12     ;    1;    4.27    Mpc ;                       ;T-F     ;2011ApJS..192....6L
46 ;IC 1574                            ;G  ;360.7      ;0.001204    ;360.92     ;    1;    4.92    Mpc ;                       ;T-F     ;2011ApJS..192....6L
47 ;ESO 540-31                         ;G  ;294.7      ;0.000983    ;294.84     ;    1;    3.31    Mpc ;                       ;T-F     ;2011ApJS..192....6L
48 ;ESO 540-30                         ;G  ;224        ;0.000747    ;224.08     ;    1;    3.33    Mpc ;                       ;T-F     ;2011ApJS..192....6L
49 ;UGC 685                            ;G  ;156        ;0.000520    ;156.04     ;    1;    4.70    Mpc ;                       ;T-F     ;2011ApJS..192....6L
50 ;LEDA 166064                        ;G  ;207        ;0.000691    ;207.07     ;    1;    5.62    Mpc ;                       ;redshift;2018MNRAS.479.4136K
51 ;LEDA 166065                        ;G  ;163        ;0.000544    ;163.04     ;    1;    5.01    Mpc ;                       ;redshift;2018MNRAS.479.4136K
52 ;IC 559                             ;G  ;541        ;0.001806    ;541.49     ;    1;    4.90    Mpc ;                       ;T-F     ;2011ApJS..192....6L
53 ;NAME Leo A                         ;G  ;22.3       ;0.000074    ;22.30      ;    1;    0.69    Mpc ;                       ;T-F     ;2011ApJS..192....6L
54 ;UGC 5456                           ;G  ;536        ;0.001790    ;536.48     ;    1;    3.80    Mpc ;                       ;T-F     ;2011ApJS..192....6L
55 ;NGC 3109                           ;G  ;403.0      ;0.001345    ;403.27     ;    1;    1.28    Mpc ;                       ;T-F     ;2011ApJS..192....6L
56 ;NAME Antlia Dwarf Galaxy           ;G  ;362.0      ;0.001208    ;362.22     ;    1;    1.29    Mpc ;                       ;T-F     ;2011ApJS..192....6L
57 ;Z 64-73                            ;G  ;282.5      ;0.000943    ;282.63     ;    1;  254       kpc ;                       ;        ;2020ApJ...893...47D
58 ;NAME Dwarf Elliptical Galaxy in Sex;G  ;224.2      ;0.000748    ;224.28     ;    1;   86       kpc ;                       ;        ;2020ApJ...893...47D
59 ;Z 126-111                          ;G  ;78.0       ;0.000260    ;78.01      ;    1;  233       kpc ;                       ;        ;2020ApJ...893...47D
60 ;LEDA 166115                        ;G  ;212        ;0.000707    ;212.08     ;    1;    4.51    Mpc ;                       ;T-F     ;2011ApJS..192....6L
61 ;UGC 6817                           ;G  ;251.0      ;0.000838    ;251.11     ;    1;    2.59    Mpc ;                       ;T-F     ;2011ApJS..192....6L
62 ;ESO 440-11                         ;G  ;1939.8     ;0.006492    ;1946.12    ;    1;    4.9     Mpc ;                       ;T-F     ;2014MNRAS.444..527S
63 ;ESO 379-24                         ;G  ;632.4      ;0.002112    ;633.07     ;    1;    4.88    Mpc ;                       ;redshift;2018MNRAS.479.4136K
64 ;UGCA 276                           ;G  ;284.0      ;0.000948    ;284.13     ;    1;    2.95    Mpc ;                       ;T-F     ;2011ApJS..192....6L
65 ;ESO 321-14                         ;G  ;615.0      ;0.002054    ;615.63     ;    1;    3.18    Mpc ;                       ;T-F     ;2011ApJS..192....6L
66 ;LEDA 166142                        ;G  ;293        ;0.000978    ;293.14     ;    1;    4.33    Mpc ;                       ;redshift;2018MNRAS.479.4136K
67 ;AGC 239141                         ;G  ;326        ;0.001088    ;326.18     ;    1;    4.92    Mpc ;                       ;redshift;2018MNRAS.479.4136K
68 ;NAME CVn I dSph                    ;G  ;30.9       ;0.000103    ;30.90      ;    1;  218       kpc ;                       ;        ;2020ApJ...893...47D
69 ;2MASX J13292099-2110452            ;G  ;650        ;0.002171    ;650.71     ;    1;    4.90    Mpc ;                       ;redshift;2018MNRAS.479.4136K
70 ;UGC 8651                           ;G  ;203        ;0.000677    ;202.96     ;    1;    3.14    Mpc ;                       ;T-F     ;2011ApJS..192....6L
71 ;IC 4316                            ;G  ;537        ;0.001793    ;537.48     ;    1;    4.40    Mpc ;                       ;T-F     ;2011ApJS..192....6L
72 ;LEDA 677373                        ;G  ;591        ;0.001973    ;591.58     ;    1;    4.55    Mpc ;                       ;redshift;2018MNRAS.479.4136K
73 ;LEDA 592761                        ;G  ;492.0      ;0.001642    ;492.40     ;    1;    5.08    Mpc ;                       ;redshift;2018MNRAS.479.4136K
74 ;UGC 8760                           ;G  ;190        ;0.000634    ;190.06     ;    1;    3.22    Mpc ;                       ;T-F     ;2011ApJS..192....6L
75 ;ESO 383-91                         ;G  ;1079       ;0.003606    ;1080.95    ;    1;   13.93    Mpc ;  -2.01       +2.01    ;T-F     ;2020ApJ...902..145K
76 ;ESO 325-11                         ;G  ;545.4      ;0.001821    ;545.90     ;    1;    4.43    Mpc ;  -2.93       +2.93    ;T-F     ;2020ApJ...902..145K
77 ;UGC 8833                           ;G  ;226        ;0.000754    ;226.09     ;    1;    3.08    Mpc ;                       ;T-F     ;2011ApJS..192....6L
78 ;ESO 384-16                         ;G  ;561        ;0.001873    ;561.53     ;    1;    4.53    Mpc ;                       ;T-F     ;2011ApJS..192....6L
79 ;LEDA 166185                        ;G  ;63.3       ;0.000211    ;63.31      ;    1;    1.97    Mpc ;                       ;T-F     ;2011ApJS..192....6L
80 ;UGC 9128                           ;G  ;152.0      ;0.000507    ;152.04     ;    1;    2.21    Mpc ;                       ;T-F     ;2011ApJS..192....6L
81 ;NAME SDG                           ;G  ;140.0      ;0.000467    ;140.03     ;    1;   26       kpc ;                       ;        ;2020ApJ...893...47D
82 ;NAME Carina dSph                   ;G  ;222.9      ;0.000744    ;222.98     ;    1;  105       kpc ;                       ;        ;2020ApJ...893...47D
83 ;NAME Argo Dwarf Irregular          ;G  ;565.0      ;0.001886    ;565.53     ;    1;    4.90    Mpc ;                       ;T-F     ;2011ApJS..192....6L
84 ;ESO 245-5                          ;G  ;390.9      ;0.001305    ;391.16     ;    1;    4.43    Mpc ;                       ;T-F     ;2011ApJS..192....6L
85 ;ESO 59-1                           ;G  ;528.7      ;0.001765    ;529.17     ;    1;    4.57    Mpc ;                       ;T-F     ;2011ApJS..192....6L
86 ;NAME LMC                           ;G  ;262.2      ;0.000875    ;262.31     ;    1;    0.05    Mpc ;                       ;T-F     ;2011ApJS..192....6L
87 ;NGC 1313                           ;G  ;469.6      ;0.001568    ;469.97     ;    1;    4.15    Mpc ;                       ;T-F     ;2011ApJS..192....6L
88 ;ESO 115-21                         ;G  ;514.8      ;0.001719    ;515.24     ;    1;    4.99    Mpc ;                       ;T-F     ;2011ApJS..192....6L
89 ;NGC 2915                           ;G  ;467.2      ;0.001560    ;467.56     ;    1;    3.78    Mpc ;                       ;T-F     ;2011ApJS..192....6L
90 ;NAME SMC                           ;G  ;145.6      ;0.000486    ;145.64     ;    1;    0.06    Mpc ;                       ;T-F     ;2011ApJS..192....6L
91 ;LEDA 3994669                       ;G  ;414        ;0.001382    ;414.29     ;    1;    3.47    Mpc ;                       ;T-RDB   ;2017AJ....153....6K
92 ;IC 3104                            ;G  ;429.0      ;0.001432    ;429.31     ;    1;    2.28    Mpc ;  -3.35       +3.35    ;T-F     ;2020ApJ...902..145K
93 ;NAME Tuc Galaxy                    ;G  ;194.0      ;0.000647    ;194.06     ;    1;    0.92    Mpc ;                       ;redshift;2018MNRAS.479.4136K
94 ;ESO 269-37                         ;G  ;744        ;0.002485    ;744.93     ;    1;    3.15    Mpc ;                       ;redshift;2018MNRAS.479.4136K
95 ;ESO 269-58                         ;G  ;402        ;0.001342    ;402.27     ;    1;    3.75    Mpc ;                       ;redshift;2018MNRAS.479.4136K
96 ;ESO 174-1                          ;G  ;1382       ;0.004621    ;1385.20    ;    1;    3.60    Mpc ;                       ;redshift;2018MNRAS.479.4136K
97 ;LEDA 46663                         ;G  ;741        ;0.002475    ;741.92     ;    1;    3.96    Mpc ;                       ;redshift;2018MNRAS.479.4136K
98 ;NAME Fourcade-Figueroa             ;G  ;827.4      ;0.002764    ;828.54     ;    1;    3.58    Mpc ;  -0.29       +0.29    ;T-F     ;2020ApJ...902..145K
99 ;IC 5152                            ;G  ;122.0      ;0.000407    ;122.02     ;    1;    1.86    Mpc ;  -0.82       +0.82    ;T-F     ;2020ApJ...902..145K
100;LEDA 51659                         ;G  ;397        ;0.001325    ;397.26     ;    1;    3.58    Mpc ;                       ;T-F     ;2011ApJS..192....6L
101;ESO 223-6                          ;G  ;1050.0     ;0.003509    ;1051.85    ;    1;    9.90    Mpc ;                       ;redshift;2018MNRAS.479.4136K
102;ESO 274-1                          ;G  ;524.4      ;0.001751    ;524.86     ;    1;    3.52    Mpc ;  -0.32       +0.32    ;T-F     ;2020ApJ...902..145K
103;NAME Bootes Dwarf Spheroidal Galaxy;G  ;99.0       ;0.000330    ;99.02      ;    1;   66       kpc ;                       ;        ;2020ApJ...893...47D
104;NAME Leo IV Dwarf Galaxy           ;G  ;132.3      ;0.000441    ;132.33     ;    1;  154       kpc ;                       ;        ;2020ApJ...893...47D
105;NAME Coma Dwarf Galaxy             ;G  ;98.1       ;0.000327    ;98.12      ;    1;   44       kpc ;                       ;        ;2020ApJ...893...47D
106;NAME Segue 1                       ;G  ;208.5      ;0.000696    ;208.57     ;    1;   23       kpc ;                       ;        ;2020ApJ...893...47D
107;NAME Hercules Dwarf Galaxy         ;G  ;45.2       ;0.000151    ;45.20      ;    1;  132       kpc ;                       ;        ;2020ApJ...893...47D
108;NAME Leo T                         ;G  ;38.1       ;0.000127    ;38.10      ;    1;    0.42    Mpc ;                       ;T-F     ;2011ApJS..192....6L
109;LEDA 5057055                       ;G  ;274        ;0.000914    ;274.13     ;    1;    6.08    Mpc ;                       ;redshift;2018MNRAS.479.4136K
110;NAME Leo V                         ;G  ;173.3      ;0.000578    ;173.35     ;    1;  178       kpc ;                       ;        ;2020ApJ...893...47D
111;LEDA 704814                        ;G  ;270        ;0.0009      ;270        ;    1;    3.60    Mpc ;                       ;redshift;2018MNRAS.479.4136K
112;NAME Bootes III                    ;G  ;197.5      ;0.000659    ;197.57     ;    1;   47       kpc ;                       ;        ;2020ApJ...893...47D
113;AGC 227869                         ;G  ;136        ;0.000454    ;136.03     ;    1;    1.3     Mpc ;                       ;        ;2007AJ....133.2569G
114;NAME Hydra II                      ;G  ;303.1      ;0.001012    ;303.25     ;    1;  151       kpc ;                       ;        ;2020ApJ...893...47D
115;NAME DDO169NW                      ;G  ;242        ;0.000808    ;242.10     ;    1;    4.33    Mpc ;                       ;redshift;2018MNRAS.479.4136K
116;NAME Reticulum II                  ;G  ;62.8       ;0.000210    ;62.81      ;    1;   30       kpc ;                       ;        ;2020ApJ...893...47D
117;NAME Hor I                         ;G  ;112.8      ;0.000376    ;112.82     ;    1;   79       kpc ;                       ;        ;2020ApJ...893...47D
118;NAME Antlia B                      ;G  ;376        ;0.001255    ;376.24     ;    1;    1.29    Mpc ;                       ;redshift;2018MNRAS.479.4136K
119;HIZOA J1353-58                     ;G  ;224        ;0.000747    ;224.08     ;    1;    2.10    Mpc ;                       ;redshift;2018MNRAS.479.4136K
120;SDSS J122409.95+261352.7           ;G  ;288        ;0.000961    ;288.14     ;    1;    3.37    Mpc ;                       ;redshift;2018MNRAS.479.4136K
121;LEDA 4074723                       ;G  ;228        ;0.00076     ;227.8      ;    1;    4.08    Mpc ;                       ;redshift;2018MNRAS.479.4136K
122;LEDA 5057032                       ;G  ;242        ;0.000808    ;242.10     ;    1;    4.33    Mpc ;                       ;        ;2016AJ....152...50T
================================================================================

