C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.18CEST01:53:59

maintype = G & redshift >0 & Distance.distance <  60 & Distance.distance  >= 50 & Distance.unit = Mpc
-----------------------------------------------------------------------------------------------------

Number of objects : 801

 # ;            identifier             ;typ;   radvel   ;  redshift  ;     cz     ;#dist; distance Q unit;  err-        err+     ; method ;     reference     
737;SDSS J104810.64+260949.7           ;G  ;3688        ;0.01238     ;3711.4      ;    1;   57.09    Mpc ;  -2.32       +2.32    ;redshift;2015ApJ...809..146B
738;SDSS J105331.17+072742.7           ;G  ;3357        ;0.01126     ;3375.7      ;    1;   50.74    Mpc ;  -2.14       +2.14    ;redshift;2015ApJ...809..146B
739;LEDA 1712509                       ;G  ;3685        ;0.01237     ;3708.4      ;    1;   76.91    Mpc ;  -5.19       +5.19    ;T-F     ;2020ApJ...902..145K
740;LEDA 97234                         ;G  ;4442        ;0.01493     ;4475.9      ;    1;   58.88    Mpc ;  -4.77       +4.77    ;T-F     ;2020ApJ...902..145K
741;LEDA 1356918                       ;G  ;4038        ;0.01356     ;4065.2      ;    1;   56.53    Mpc ;  -3.00       +3.00    ;redshift;2015ApJ...809..146B
742;LEDA 1391373                       ;G  ;3875        ;0.01301     ;3900.3      ;    1;   46.13    Mpc ;  -6.44       +6.44    ;T-F     ;2020ApJ...902..145K
743;SDSS J154246.09+120337.3           ;G  ;4268        ;0.01434     ;4299.0      ;    1;   59.76    Mpc ;  -2.29       +2.29    ;redshift;2015ApJ...809..146B
744;LEDA 4474867                       ;G  ;2151        ;0.007201    ;2158.77     ;    1;   54.45    Mpc ;  -6.13       +6.13    ;T-F     ;2020ApJ...902..145K
745;LEDA 5060393                       ;G  ;3288        ;0.01103     ;3306.7      ;    1;   55.72    Mpc ;  -4.51       +4.51    ;T-F     ;2020ApJ...902..145K
746;SDSS J162832.63+244317.4           ;G  ;4138        ;0.01390     ;4167.1      ;    1;   57.08    Mpc ;  -2.00       +2.00    ;redshift;2015ApJ...809..146B
747;LEDA 1481074                       ;G  ;8512        ;0.028808    ;8636.35     ;    1;   58.08    Mpc ;  -3.92       +3.92    ;T-F     ;2020ApJ...902..145K
748;LEDA 5057558                       ;G  ;3072        ;0.010300    ;3087.90     ;    1;   54.20    Mpc ;  -5.85       +5.85    ;T-F     ;2020ApJ...902..145K
749;LEDA 5059496                       ;G  ;3673        ;0.012328    ;3695.78     ;    1;   58.08    Mpc ;  -6.79       +6.79    ;T-F     ;2020ApJ...902..145K
750;LEDA 1468497                       ;G  ;4971        ;0.01672     ;5012.5      ;    1;   55.21    Mpc ;  -4.47       +4.47    ;T-F     ;2020ApJ...902..145K
751;LEDA 1580851                       ;G  ;2246        ;0.007520    ;2254.48     ;    1;   58.88    Mpc ;  -4.77       +4.77    ;T-F     ;2020ApJ...902..145K
752;LEDA 3800752                       ;G  ;2650        ;0.008879    ;2661.82     ;    1;   57.02    Mpc ;  -4.36       +4.36    ;T-F     ;2020ApJ...902..145K
753;LEDA 1648997                       ;G  ;2853        ;0.009562    ;2866.71     ;    1;   55.46    Mpc ;  -3.74       +3.74    ;T-F     ;2020ApJ...902..145K
754;LEDA 1224445                       ;G  ;2995        ;0.010041    ;3010.11     ;    1;   58.08    Mpc ;  -6.53       +6.53    ;T-F     ;2020ApJ...902..145K
755;LEDA 1575844                       ;G  ;5270        ;0.017736    ;5317.15     ;    1;   56.23    Mpc ;  -6.83       +6.83    ;T-F     ;2020ApJ...902..145K
756;LEDA 1579866                       ;G  ;5301        ;0.017841    ;5348.71     ;    1;   59.70    Mpc ;  -4.57       +4.57    ;T-F     ;2020ApJ...902..145K
757;LEDA 1393760                       ;G  ;3526        ;0.01183     ;3546.5      ;    1;   53.21    Mpc ;  -2.47       +2.47    ;redshift;2015ApJ...809..146B
758;LEDA 1510328                       ;G  ;5736        ;0.01932     ;5792.0      ;    1;   58.88    Mpc ;  -5.30       +5.30    ;T-F     ;2020ApJ...902..145K
759;PB 2905                            ;G  ;3537        ;0.01187     ;3558.5      ;    1;   54.32    Mpc ;  -3.04       +3.04    ;redshift;2015ApJ...809..146B
760;LEDA 1666736                       ;G  ;3422        ;0.01148     ;3441.6      ;    1;   51.65    Mpc ;  -3.50       +3.50    ;redshift;2015ApJ...809..146B
761;LEDA 1946629                       ;G  ;3322        ;0.011143    ;3340.61     ;    1;   56.75    Mpc ;  -4.85       +4.85    ;T-F     ;2020ApJ...902..145K
762;LEDA 2289245                       ;G  ;3623        ;0.01216     ;3645.5      ;    1;   51.36    Mpc ;  -2.18       +2.18    ;redshift;2015ApJ...809..146B
763;SDSS J111721.15+155714.6           ;G  ;3807        ;0.01278     ;3831.3      ;    1;   58.20    Mpc ;  -2.25       +2.25    ;redshift;2015ApJ...809..146B
764;LEDA 1553095                       ;G  ;6845        ;0.02310     ;6925.2      ;    1;   55.46    Mpc ; -23.71      +23.71    ;T-F     ;2020ApJ...902..145K
765;LEDA 1673363                       ;G  ;5389        ;0.018140    ;5438.32     ;    1;   54.20    Mpc ;  -5.37       +5.37    ;T-F     ;2020ApJ...902..145K
766;LEDA 1566044                       ;G  ;8671        ;0.029354    ;8800.11     ;    1;   54.95    Mpc ;  -4.95       +4.95    ;T-F     ;2020ApJ...902..145K
767;LEDA 1547513                       ;G  ;3137        ;0.010519    ;3153.59     ;    1;   51.29    Mpc ;  -3.92       +3.92    ;T-F     ;2020ApJ...902..145K
768;LEDA 1395674                       ;G  ;2183        ;0.007308    ;2191.01     ;    1;   50.58    Mpc ;  -4.78       +4.78    ;T-F     ;2020ApJ...902..145K
769;SDSS J001343.98+002218.2           ;G  ;3961        ;0.01330     ;3987.2      ;    1;   56.50    Mpc ;  -1.75       +1.75    ;redshift;2015ApJ...809..146B
770;SDSS J091714.93+040801.2           ;G  ;3629        ;0.01218     ;3651.5      ;    1;   55.39    Mpc ;  -2.18       +2.18    ;redshift;2015ApJ...809..146B
771;SDSS J095536.46+032527.2           ;G  ;3617        ;0.01214     ;3639.5      ;    1;   55.83    Mpc ;  -2.47       +2.47    ;redshift;2015ApJ...809..146B
772;SDSS J164340.78+223238.9           ;G  ;4236        ;0.01423     ;4266.0      ;    1;   57.88    Mpc ;  -2.14       +2.14    ;redshift;2015ApJ...809..146B
773;SDSS J145819.32+090432.6           ;G  ;4046        ;0.01359     ;4074.2      ;    1;   57.09    Mpc ;  -3.00       +3.00    ;redshift;2015ApJ...809..146B
774;SDSS J084428.53+092053.6           ;G  ;3875        ;0.01301     ;3900.3      ;    1;   57.93    Mpc ;  -1.79       +1.79    ;redshift;2015ApJ...809..146B
775;SDSS J140236.44+095628.6           ;G  ;3656        ;0.01227     ;3678.5      ;    1;   55.21    Mpc ;  -3.68       +3.68    ;redshift;2015ApJ...809..146B
776;SDSS J084442.62+221126.7           ;G  ;3680        ;0.01235     ;3702.4      ;    1;   56.65    Mpc ;  -2.43       +2.43    ;redshift;2015ApJ...809..146B
777;SDSS J163743.28+173008.4           ;G  ;3907        ;0.01312     ;3933.3      ;    1;   53.58    Mpc ;  -1.93       +1.93    ;redshift;2015ApJ...809..146B
778;SDSS J094324.06+215451.3           ;G  ;3736        ;0.01254     ;3759.4      ;    1;   58.20    Mpc ;  -2.57       +2.57    ;redshift;2015ApJ...809..146B
779;SDSS J112917.97+164834.8           ;G  ;3537        ;0.01187     ;3558.5      ;    1;   54.43    Mpc ;  -2.50       +2.50    ;redshift;2015ApJ...809..146B
780;SDSS J113042.32+211804.6           ;G  ;7261        ;0.02452     ;7350.9      ;    1;   59.39    Mpc ;  -2.39       +2.39    ;redshift;2015ApJ...809..146B
781;SDSS J101002.07+170034.4           ;G  ;3632        ;0.01219     ;3654.5      ;    1;   54.06    Mpc ;  -2.68       +2.68    ;redshift;2015ApJ...809..146B
782;SDSS J121524.30+201812.3           ;G  ;3718        ;0.01248     ;3741.4      ;    1;   58.26    Mpc ;  -3.54       +3.54    ;redshift;2015ApJ...809..146B
783;SDSS J143621.43+151500.0           ;G  ;3620        ;0.01215     ;3642.5      ;    1;   51.62    Mpc ;  -2.29       +2.29    ;redshift;2015ApJ...809..146B
784;SDSS J153810.89+140137.9           ;G  ;3762        ;0.01263     ;3786.4      ;    1;   52.84    Mpc ;  -1.86       +1.86    ;redshift;2015ApJ...809..146B
785;SDSS J154926.49+053416.3           ;G  ;3718        ;0.01248     ;3741.4      ;    1;   51.73    Mpc ;  -2.43       +2.43    ;redshift;2015ApJ...809..146B
786;LEDA 4010135                       ;G  ;3573        ;0.011990    ;3594.55     ;    1;   56.75    Mpc ;  -5.11       +5.11    ;T-F     ;2020ApJ...902..145K
787;LEDA 4019692                       ;G  ;3697        ;0.01241     ;3720.4      ;    1;   56.49    Mpc ;  -4.58       +4.58    ;T-F     ;2020ApJ...902..145K
788;LEDA 5808692                       ;G  ;2686        ;0.009000    ;2698.14     ;    1;   54.70    Mpc ;  -5.66       +5.66    ;T-F     ;2020ApJ...902..145K
789;ZOA J04580863+4505258              ;G  ;3522        ;0.0118      ;3543        ;    1;   51       Mpc ;                       ;redshift;2016MNRAS.460..923R
790;ZOA J04492763+4432537              ;G  ;3684        ;0.012365    ;3707.00     ;    1;   53       Mpc ;                       ;redshift;2016MNRAS.460..923R
791;ZOA J04493592+4452521              ;G  ;3959        ;0.013293    ;3985.00     ;    1;   57       Mpc ;                       ;redshift;2016MNRAS.460..923R
792;ZOA J04590631+4623589              ;G  ;3658        ;0.012278    ;3681.00     ;    1;   53       Mpc ;                       ;redshift;2016MNRAS.460..923R
793;LEDA 3641063                       ;G  ;4076        ;0.013690    ;4104.09     ;    1;   57.28    Mpc ;  -5.16       +5.16    ;T-F     ;2020ApJ...902..145K
794;LEDA 3645638                       ;G  ;6469        ;0.021816    ;6540.33     ;    1;   50.58    Mpc ;  -3.41       +3.41    ;T-F     ;2020ApJ...902..145K
795;LEDA 5807477                       ;G  ;10056       ;0.034125    ;10230.46    ;    1;   53.21    Mpc ;-155.88     +155.88    ;T-F     ;2020ApJ...902..145K
796;LEDA 5807648                       ;G  ;3929        ;0.013193    ;3955.09     ;    1;   55.72    Mpc ;  -8.02       +8.02    ;T-F     ;2020ApJ...902..145K
797;LEDA 5807680                       ;G  ;3487        ;0.011700    ;3507.52     ;    1;   57.28    Mpc ;  -4.64       +4.64    ;T-F     ;2020ApJ...902..145K
798;LEDA 5807330                       ;G  ;1984        ;0.006640    ;1990.61     ;    1;   52.24    Mpc ;  -6.58       +6.58    ;T-F     ;2020ApJ...902..145K
799;LEDA 5807363                       ;G  ;4864        ;0.016358    ;4904.11     ;    1;   59.70    Mpc ; -13.43      +13.43    ;T-F     ;2020ApJ...902..145K
800;LEDA 5808685                       ;G  ;2780        ;0.009316    ;2793.01     ;    1;   56.75    Mpc ;  -5.36       +5.36    ;T-F     ;2020ApJ...902..145K
801;LEDA 5807388                       ;G  ;6245        ;0.021053    ;6311.42     ;    1;   59.98    Mpc ; -23.75      +23.75    ;T-F     ;2020ApJ...902..145K
================================================================================

