#;identifier;typ;radvel;redshift;cz;#dist;distance Q unit;err-err+;method;reference
38 ;UGC 6931                           ;G  ;670.7900   ;0.002240    ;671.54     ;    1;   23.01    Mpc ;  -4.56       +4.56    ;T-F     ;2020ApJ...902..145K
39 ;UGC 6616                           ;G  ;1145       ;0.003827    ;1147.19    ;    1;   24.21    Mpc ;                       ;        ;2016AJ....152...50T
40 ;UGC 5888                           ;G  ;1239       ;0.004141    ;1241.57    ;    1;   21       Mpc ;                       ;        ;2007ApJS..173..185G
41 ;UGC 6919                           ;G  ;1309       ;0.004376    ;1311.87    ;    1;   24.2217  Mpc ;                       ;redshift;2019A&A...631A..38L
42 ;UGC 6894                           ;G  ;850        ;0.002839    ;851.21     ;    1;   17.54    Mpc ;  -1.97       +1.97    ;T-F     ;2020ApJ...902..145K
43 ;NGC 3733                           ;G  ;1185       ;0.003961    ;1187.35    ;    1;   23.33    Mpc ;  -2.63       +2.63    ;T-F     ;2020ApJ...902..145K
44 ;UGC 6940                           ;G  ;1027       ;0.003432    ;1028.77    ;    1;   24       Mpc ;  -4          +5       ;T-F     ;2008ApJ...676..184T
45 ;UGC 6399                           ;G  ;792        ;0.002645    ;793.05     ;    1;   20.89    Mpc ;  -1.97       +1.97    ;T-F     ;2020ApJ...902..145K
46 ;UGC 8756                           ;G  ;1341       ;0.0045      ;1344       ;    1;   30.4789  Mpc ;                       ;redshift;2019A&A...631A..38L
47 ;UGC 8489                           ;G  ;1302       ;0.004352    ;1304.84    ;    1;   24.43    Mpc ;  -3.30       +3.30    ;T-F     ;2020ApJ...902..145K
48 ;UGC 6818                           ;G  ;807        ;0.002695    ;808.09     ;    1;   20.04    Mpc ;  -2.44       +2.44    ;T-F     ;2020ApJ...902..145K
49 ;ESO 547-9                          ;G  ;1672.4     ;0.005594    ;1677.09    ;    1;   22.2     Mpc ;                       ;        ;2011AJ....142...83N
50 ;6dFGS gJ034718.3-144150            ;G  ;1686       ;0.005640    ;1690.77    ;    1;   27.04    Mpc ;  -6.21       +6.21    ;T-F     ;2020ApJ...902..145K
51 ;UGC 2997                           ;G  ;1586       ;0.005304    ;1590.10    ;    1;   22.7     Mpc ;                       ;redshift;2011MNRAS.413..813C
52 ;MCG-03-11-019                      ;G  ;1958.7     ;0.006555    ;1965.14    ;    1;   23.12    Mpc ;  -2.29       +2.29    ;T-F     ;2020ApJ...902..145K
53 ;ESO 359-29                         ;G  ;876        ;0.002926    ;877.28     ;    1;   22.39    Mpc ;  -5.44       +5.44    ;T-F     ;2020ApJ...902..145K
54 ;UGC 3045                           ;G  ;1384       ;0.004627    ;1387.14    ;    1;   20.8     Mpc ;                       ;redshift;2011MNRAS.413..813C
55 ;ESO 484-19                         ;G  ;1631.7     ;0.005458    ;1636.16    ;    1;   21.3     Mpc ;                       ;        ;2011AJ....142...83N
56 ;LEDA 89985                         ;G  ;2120       ;0.007097    ;2127.55    ;    1;   20.14    Mpc ;  -2.45       +2.45    ;T-F     ;2020ApJ...902..145K
57 ;ESO 551-16                         ;G  ;1808       ;0.006049    ;1813.48    ;    1;   22.18    Mpc ;  -6.59       +6.59    ;T-F     ;2020ApJ...902..145K
58 ;ESO 361-9                          ;G  ;1347.8     ;0.004506    ;1350.84    ;    1;   20.61    Mpc ;  -6.40       +6.40    ;T-F     ;2020ApJ...902..145K
59 ;NGC 1832                           ;G  ;1931.0     ;0.006462    ;1937.26    ;    1;   22.70    Mpc ;  -2.96       +2.96    ;T-F     ;2020ApJ...902..145K
60 ;ESO 423-2                          ;G  ;1465.9     ;0.004902    ;1469.50    ;    1;   21.28    Mpc ;  -2.78       +2.78    ;T-F     ;2020ApJ...902..145K
61 ;ESO 305-17                         ;G  ;1071.3     ;0.003580    ;1073.22    ;    1;   19.86    Mpc ;  -3.40       +3.40    ;T-F     ;2020ApJ...902..145K
62 ;MCG-02-16-002                      ;G  ;2215.2     ;0.007417    ;2223.44    ;    1;   24.10    Mpc ;  -1.52       +1.52    ;T-F     ;2020ApJ...902..145K
63 ;UGC 3433                           ;G  ;2336.2     ;0.007823    ;2345.37    ;    1;   25.35    Mpc ;  -1.83       +1.83    ;T-F     ;2020ApJ...902..145K
64 ;UGC 3475                           ;G  ;486        ;0.001622    ;486.39     ;    1;   22.91    Mpc ;  -2.68       +2.68    ;T-F     ;2020ApJ...902..145K
65 ;ESO 490-10                         ;G  ;1825.9     ;0.006109    ;1831.49    ;    1;   17.54    Mpc ;  -2.60       +2.60    ;T-F     ;2020ApJ...902..145K
66 ;UGC 3516                           ;G  ;1292       ;0.004319    ;1294.80    ;    1;   21.09    Mpc ;  -2.37       +2.37    ;T-F     ;2020ApJ...902..145K
67 ;ESO 490-28                         ;G  ;2146.3     ;0.007185    ;2154.04    ;    1;   21.58    Mpc ;  -3.79       +3.79    ;T-F     ;2020ApJ...902..145K
68 ;UGC 3587                           ;G  ;1266       ;0.004232    ;1268.68    ;    1;   20.04    Mpc ;  -2.07       +2.07    ;T-F     ;2020ApJ...902..145K
69 ;ESO 490-45                         ;G  ;1704.9     ;0.005703    ;1709.78    ;    1;   18.11    Mpc ;  -1.39       +1.39    ;T-F     ;2020ApJ...902..145K
70 ;UGC 3691                           ;G  ;2205       ;0.007382    ;2213.17    ;    1;   24.43    Mpc ;  -3.08       +3.08    ;T-F     ;2020ApJ...902..145K
71 ;ESO 428-20                         ;G  ;2007       ;0.006717    ;2013.76    ;    1;   23.01    Mpc ;  -5.07       +5.07    ;T-F     ;2020ApJ...902..145K
72 ;ESO 560-14                         ;G  ;921        ;0.003077    ;922.42     ;    1;   20.80    Mpc ;  -2.53       +2.53    ;T-F     ;2020ApJ...902..145K
73 ;ESO 430-26                         ;G  ;1658.0     ;0.005546    ;1662.61    ;    1;   21.28    Mpc ;  -2.68       +2.68    ;T-F     ;2020ApJ...902..145K
74 ;UGC 4306                           ;G  ;2400       ;0.008038    ;2409.68    ;    1;   30.06    Mpc ;                       ;        ;2016AJ....152...50T
75 ;ESO 563-2                          ;G  ;1649.9     ;0.005519    ;1654.47    ;    1;   21.98    Mpc ;  -3.16       +3.16    ;T-F     ;2020ApJ...902..145K
76 ;NGC 2644                           ;G  ;1943       ;0.006502    ;1949.34    ;    1;   21.88    Mpc ;  -1.58       +1.58    ;T-F     ;2020ApJ...902..145K
77 ;ESO 342-50                         ;G  ;2668.4     ;0.008941    ;2680.38    ;    1;   28.05    Mpc ;                       ;        ;2016AJ....152...50T
78 ;ESO 289-26                         ;G  ;2419.7     ;0.008104    ;2429.54    ;    1;   20       Mpc ;  -3          +4       ;T-F     ;2008ApJ...676..184T
79 ;ESO 291-7                          ;G  ;1599.7     ;0.005350    ;1603.99    ;    1;   21       Mpc ;                       ;        ;2007ApJS..173..185G
80 ;ESO 291-24                         ;G  ;1677.0     ;0.005610    ;1681.72    ;    1;   23.66    Mpc ;  -4.47       +4.47    ;T-F     ;2020ApJ...902..145K
81 ;ESO 292-14                         ;G  ;1492.6     ;0.004991    ;1496.33    ;    1;   27.29    Mpc ;  -2.33       +2.33    ;T-F     ;2020ApJ...902..145K
82 ;ESO 403-24                         ;G  ;2609       ;0.008741    ;2620.45    ;    1;   34.67    Mpc ;  -9.21       +9.21    ;T-F     ;2020ApJ...902..145K
83 ;ESO 407-9                          ;G  ;1556.1     ;0.005204    ;1560.16    ;    1;   27.54    Mpc ;  -4.46       +4.46    ;T-F     ;2020ApJ...902..145K
84 ;ESO 411-26                         ;G  ;1598       ;0.005344    ;1602.09    ;    1;   21.2589  Mpc ;                       ;redshift;2019A&A...631A..38L
85 ;NGC 7                              ;G  ;1505.2     ;0.005033    ;1509.00    ;    1;   18.03    Mpc ;  -1.95       +1.95    ;T-F     ;2020ApJ...902..145K
86 ;ESO 411-16                         ;G  ;1747       ;0.005844    ;1752.12    ;    1;   24.0852  Mpc ;                       ;redshift;2019A&A...631A..38L
87 ;6dFGS gJ002304.2-275537            ;G  ;1538.6     ;0.005145    ;1542.57    ;    1;   21.0     Mpc ;                       ;        ;2011AJ....142...83N
88 ;IC 1558                            ;G  ;1552.0     ;0.005190    ;1556.04    ;    1;    9.0     Mpc ;                       ;T-F     ;2014MNRAS.444..527S
89 ;ESO 411-27                         ;G  ;1752       ;0.005861    ;1757.08    ;    1;   24.6587  Mpc ;                       ;redshift;2019A&A...631A..38L
90 ;ESO 476-10                         ;G  ;1608.8     ;0.005381    ;1613.14    ;    1;   22.18    Mpc ;  -5.19       +5.19    ;T-F     ;2020ApJ...902..145K
91 ;ESO 545-3                          ;G  ;1597.6     ;0.005343    ;1601.88    ;    1;   21.58    Mpc ;  -3.88       +3.88    ;T-F     ;2020ApJ...902..145K
92 ;IC 5078                            ;G  ;1474.3     ;0.004930    ;1477.94    ;    1;   20.80    Mpc ;  -1.68       +1.68    ;T-F     ;2020ApJ...902..145K
93 ;NGC 578                            ;G  ;1626.2     ;0.005439    ;1630.63    ;    1;   20.42    Mpc ;  -3.22       +3.22    ;T-F     ;2020ApJ...902..145K
94 ;ESO 545-2                          ;G  ;1618.0     ;0.005412    ;1622.39    ;    1;   18.97    Mpc ;  -2.30       +2.30    ;T-F     ;2020ApJ...902..145K
95 ;ESO 601-25                         ;G  ;1726.8     ;0.005777    ;1731.80    ;    1;   20.89    Mpc ;  -2.91       +2.91    ;T-F     ;2020ApJ...902..145K
96 ;MCG-03-02-040                      ;G  ;1554.8     ;0.005200    ;1558.85    ;    1;   22.80    Mpc ;  -4.10       +4.10    ;T-F     ;2020ApJ...902..145K
97 ;ESO 540-16                         ;G  ;1558.6     ;0.005213    ;1562.67    ;    1;   24.77    Mpc ;  -1.90       +1.90    ;T-F     ;2020ApJ...902..145K
98 ;NGC 814                            ;G  ;1616       ;0.005405    ;1620.38    ;    1;   21       Mpc ;                       ;        ;2007ApJS..173..185G
99 ;MCG-03-59-001                      ;G  ;2103.9     ;0.007043    ;2111.33    ;    1;   24.89    Mpc ;  -3.70       +3.70    ;T-F     ;2020ApJ...902..145K
100;UGCA 22                            ;G  ;1860.4     ;0.006225    ;1866.21    ;    1;   24.66    Mpc ;  -2.66       +2.66    ;T-F     ;2020ApJ...902..145K
101;LEDA 7896                          ;G  ;1814       ;0.00607     ;1819.7     ;    1;   24.95    Mpc ;  -2.04       +2.04    ;redshift;2015ApJ...809..146B
102;MCG-02-06-016                      ;G  ;1606.7     ;0.005374    ;1611.03    ;    1;   22       Mpc ;                       ;        ;2007ApJS..173..185G
103;NGC 7406                           ;G  ;1601       ;0.005355    ;1605.30    ;    1;   22.70    Mpc ;  -5.41       +5.41    ;T-F     ;2020ApJ...902..145K
104;UGC 12151                          ;G  ;1754.8     ;0.005871    ;1759.97    ;    1;   22.80    Mpc ;                       ;        ;2016AJ....152...50T
105;NGC 7460                           ;G  ;3195       ;0.010715    ;3212.21    ;    1;   23.66    Mpc ;  -2.56       +2.56    ;T-F     ;2020ApJ...902..145K
106;UGC 12709                          ;G  ;2674       ;0.008960    ;2686.03    ;    1;   35.1000  Mpc ;                       ;redshift;2019A&A...631A..38L
107;NGC 7750                           ;G  ;2901       ;0.009724    ;2915.17    ;    1;   27.67    Mpc ;  -2.49       +2.49    ;T-F     ;2020ApJ...902..145K
108;UGC 12178                          ;G  ;1928       ;0.006452    ;1934.24    ;    1;   24.32    Mpc ;  -2.30       +2.30    ;T-F     ;2020ApJ...902..145K
109;UGC 1803                           ;G  ;1625       ;0.005435    ;1629.43    ;    1;   22.49    Mpc ;  -1.72       +1.72    ;T-F     ;2020ApJ...902..145K
110;NGC 821                            ;G  ;1738       ;0.005814    ;1742.99    ;    1;   23.23    Mpc ;                       ;        ;2016AJ....152...50T
111;UGC 11921                          ;G  ;1674       ;0.005600    ;1678.70    ;    1;   19.50    Mpc ;  -1.58       +1.58    ;T-F     ;2020ApJ...902..145K
112;UGC 17                             ;G  ;876        ;0.002926    ;877.28     ;    1;   19.41    Mpc ;                       ;        ;2016AJ....152...50T
113;UGC 12344                          ;G  ;1626       ;0.005439    ;1630.43    ;    1;   18.37    Mpc ;  -1.49       +1.49    ;T-F     ;2020ApJ...902..145K
114;Mrk 324                            ;G  ;1609       ;0.005382    ;1613.34    ;    1;   24.0     Mpc ;                       ;        ;2000ApJ...529..786M
115;UGC 12843                          ;G  ;1772       ;0.005928    ;1777.27    ;    1;   21.58    Mpc ;  -2.04       +2.04    ;T-F     ;2020ApJ...902..145K
116;NGC 803                            ;G  ;2099       ;0.007026    ;2106.40    ;    1;   22.80    Mpc ;  -1.54       +1.54    ;T-F     ;2020ApJ...902..145K
117;UGC 1999                           ;G  ;970        ;0.003241    ;971.57     ;    1;   17.30    Mpc ;  -1.32       +1.32    ;T-F     ;2020ApJ...902..145K
118;UGC 12340                          ;G  ;1056       ;0.003529    ;1057.87    ;    1;   20.89    Mpc ;  -2.07       +2.07    ;T-F     ;2020ApJ...902..145K
119;UGC 12212                          ;G  ;894        ;0.002987    ;895.34     ;    1;   24       Mpc ;  -5          +4       ;T-F     ;2008ApJ...676..184T
120;UGC 1753                           ;G  ;2992       ;0.010031    ;3007.08    ;    1;   24.55    Mpc ;  -2.54       +2.54    ;T-F     ;2020ApJ...902..145K
121;LEDA 1763621                       ;G  ;1730       ;0.005787    ;1735.02    ;    1;   23.0     Mpc ;                       ;        ;2008AJ....135..588S
122;LEDA 1783064                       ;G  ;1562       ;0.0052      ;1566       ;    1;   21.1     Mpc ;                       ;        ;2008AJ....135..588S
123;Mrk 980                            ;G  ;4823       ;0.016218    ;4862.10    ;    1;   22.80    Mpc ;  -3.18       +3.18    ;T-F     ;2020ApJ...902..145K
124;UGC 1958                           ;G  ;1015       ;0.003391    ;1016.72    ;    1;   19.86    Mpc ;                       ;        ;2016AJ....152...50T
125;LEDA 9583                          ;G  ;1591       ;0.005321    ;1595.24    ;    1;   21.2     Mpc ;                       ;        ;2008AJ....135..588S
126;Mrk 908                            ;G  ;1240       ;0.004145    ;1242.58    ;    1;   23.99    Mpc ;  -2.59       +2.59    ;T-F     ;2020ApJ...902..145K
127;UGC 1975                           ;G  ;3180       ;0.010664    ;3197.05    ;    1;   24.55    Mpc ;  -2.43       +2.43    ;T-F     ;2020ApJ...902..145K
128;UGC 1070                           ;G  ;2794       ;0.009363    ;2806.96    ;    1;   20.99    Mpc ;                       ;        ;2016AJ....152...50T
129;UGC 2392                           ;G  ;1548       ;0.005177    ;1552.02    ;    1;   24.21    Mpc ;  -1.96       +1.96    ;T-F     ;2020ApJ...902..145K
130;UGC 4722                           ;G  ;1819       ;0.006085    ;1824.24    ;    1;   17.14    Mpc ;  -1.39       +1.39    ;T-F     ;2020ApJ...902..145K
131;NGC 2775                           ;G  ;1353       ;0.004523    ;1356.07    ;    1;   20.5     Mpc ;                       ;redshift;2011MNRAS.413..813C
132;ESO 433-4                          ;G  ;1466.7     ;0.004904    ;1470.31    ;    1;   23.88    Mpc ;  -4.94       +4.94    ;T-F     ;2020ApJ...902..145K
133;UGC 4834                           ;G  ;2064       ;0.006909    ;2071.15    ;    1;   31.05    Mpc ;  -5.31       +5.31    ;T-F     ;2020ApJ...902..145K
134;NGC 2855                           ;G  ;1904       ;0.006371    ;1909.98    ;    1;   23.33    Mpc ;                       ;        ;2016AJ....152...50T
135;NGC 2859                           ;G  ;1672       ;0.005593    ;1676.69    ;    1;   21.7600  Mpc ;                       ;redshift;2019A&A...631A..38L
136;NGC 2893                           ;G  ;1730       ;0.005787    ;1735.02    ;    1;   24.0     Mpc ;                       ;T-F     ;2011PASP..123.1011A
137;IC 2469                            ;G  ;1666       ;0.005573    ;1670.65    ;    1;   22.59    Mpc ;  -1.32       +1.32    ;T-F     ;2020ApJ...902..145K
138;UGC 5282                           ;G  ;1564       ;0.005231    ;1568.10    ;    1;   23.66    Mpc ;  -2.66       +2.66    ;T-F     ;2020ApJ...902..145K
139;NGC 3055                           ;G  ;1821       ;0.006093    ;1826.56    ;    1;   29.38    Mpc ;  -2.91       +2.91    ;T-F     ;2020ApJ...902..145K
140;UGC 5249                           ;G  ;1874       ;0.006271    ;1879.89    ;    1;   24.77    Mpc ;  -1.67       +1.67    ;T-F     ;2020ApJ...902..145K
141;NGC 3044                           ;G  ;1288.5     ;0.004307    ;1291.28    ;    1;   18.03    Mpc ;  -1.05       +1.05    ;T-F     ;2020ApJ...902..145K
142;UGC 5245                           ;G  ;1410.0     ;0.004714    ;1413.33    ;    1;   17.14    Mpc ;  -2.16       +2.16    ;T-F     ;2020ApJ...902..145K
143;IC 600                             ;G  ;1311.1     ;0.004383    ;1313.98    ;    1;   18.88    Mpc ;  -2.38       +2.38    ;T-F     ;2020ApJ...902..145K
144;UGC 5574                           ;G  ;1465       ;0.004899    ;1468.60    ;    1;   20.99    Mpc ;  -2.36       +2.36    ;T-F     ;2020ApJ...902..145K
145;UGC 5646                           ;G  ;1368       ;0.004574    ;1371.14    ;    1;   27.42    Mpc ;  -1.73       +1.73    ;T-F     ;2020ApJ...902..145K
146;UGC 5633                           ;G  ;1382       ;0.004621    ;1385.20    ;    1;   30.76    Mpc ;  -3.46       +3.46    ;T-F     ;2020ApJ...902..145K
147;UGC 5677                           ;G  ;1153       ;0.003853    ;1155.23    ;    1;   20.80    Mpc ;                       ;        ;2016AJ....152...50T
148;UGC 5716                           ;G  ;1276       ;0.004265    ;1278.73    ;    1;   21.30    Mpc ;  -5.30       +5.30    ;T-F     ;2016ApJ...816L..14L
149;ESO 376-5                          ;G  ;2655       ;0.008896    ;2666.86    ;    1;   20.80    Mpc ;                       ;        ;2016AJ....152...50T
150;UGC 5844                           ;G  ;1470       ;0.004915    ;1473.62    ;    1;   24.10    Mpc ;  -2.06       +2.06    ;T-F     ;2020ApJ...902..145K
151;ESO 569-14                         ;G  ;2055.1     ;0.006879    ;2062.19    ;    1;   26.79    Mpc ;  -2.29       +2.29    ;T-F     ;2020ApJ...902..145K
152;ESO 265-3                          ;G  ;1388.5     ;0.004642    ;1391.73    ;    1;   17.95    Mpc ;  -2.67       +2.67    ;T-F     ;2020ApJ...902..145K
153;ESO 438-10                         ;G  ;1490       ;0.004983    ;1493.72    ;    1;   20.89    Mpc ;  -2.91       +2.91    ;T-F     ;2020ApJ...902..145K
154;LEDA 91112                         ;G  ;1482       ;0.004956    ;1485.68    ;    1;   24.28    Mpc ;  -1.86       +1.86    ;redshift;2015ApJ...809..146B
155;ESO 377-34                         ;G  ;2617.9     ;0.008771    ;2629.43    ;    1;   21.78    Mpc ;  -1.67       +1.67    ;T-F     ;2020ApJ...902..145K
156;ESO 503-22                         ;G  ;1875       ;0.006274    ;1880.90    ;    1;   29.51    Mpc ;  -7.44       +7.44    ;T-F     ;2020ApJ...902..145K
157;ESO 320-4                          ;G  ;2869       ;0.009616    ;2882.86    ;    1;   20.32    Mpc ;                       ;        ;2008ApJ...676..184T
158;IC 718                             ;G  ;1984       ;0.006640    ;1990.61    ;    1;   24.77    Mpc ;  -2.68       +2.68    ;T-F     ;2020ApJ...902..145K
159;IC 719                             ;G  ;1810       ;0.006056    ;1815.50    ;    1;   28.07    Mpc ;  -1.79       +1.79    ;redshift;2015ApJ...809..146B
160;ESO 571-18                         ;G  ;1414.8     ;0.004730    ;1418.15    ;    1;   20.0     Mpc ;                       ;        ;2011AJ....142...83N
161;ESO 440-4                          ;G  ;1845.1     ;0.006174    ;1850.81    ;    1;   34.36    Mpc ;                       ;        ;2016AJ....152...50T
162;ESO 504-25                         ;G  ;1650.1     ;0.005519    ;1654.67    ;    1;   27.93    Mpc ;                       ;        ;2016AJ....152...50T
163;ESO 440-11                         ;G  ;1939.8     ;0.006492    ;1946.12    ;    1;    4.9     Mpc ;                       ;T-F     ;2014MNRAS.444..527S
164;UGC 7131                           ;G  ;249        ;0.000831    ;249.10     ;    1;   20.70    Mpc ;  -1.96       +1.96    ;T-F     ;2020ApJ...902..145K
165;ESO 441-7                          ;G  ;2213.7     ;0.007412    ;2221.93    ;    1;   19.68    Mpc ;  -2.66       +2.66    ;T-F     ;2020ApJ...902..145K
166;LEDA 39893                         ;G  ;1430       ;0.00478     ;1433.0     ;    1;   24.0     Mpc ;                       ;        ;2008MNRAS.389.1924F
167;NGC 4219                           ;G  ;1989.0     ;0.006657    ;1995.64    ;    1;   19.32    Mpc ;  -1.56       +1.56    ;T-F     ;2020ApJ...902..145K
168;2MASX J12300506+0804241            ;G  ;1268       ;0.00424     ;1271.1     ;    1;   22.1     Mpc ;                       ;        ;2008MNRAS.389.1924F
169;ESO 380-25                         ;G  ;2794       ;0.009364    ;2807.14    ;    1;   20.23    Mpc ;                       ;        ;2016AJ....152...50T
170;ESO 322-9                          ;G  ;3612       ;0.012122    ;3634.08    ;    1;   23.88    Mpc ;                       ;        ;2016AJ....152...50T
171;ESO 506-29                         ;G  ;2994.2     ;0.010038    ;3009.30    ;    1;   22.91    Mpc ;  -4.54       +4.54    ;T-F     ;2020ApJ...902..145K
172;ESO 442-13                         ;G  ;1525.4     ;0.005101    ;1529.30    ;    1;   20.89    Mpc ;  -3.01       +3.01    ;T-F     ;2020ApJ...902..145K
173;MCG-01-33-014                      ;G  ;1507.3     ;0.005041    ;1511.11    ;    1;   16.90    Mpc ;                       ;        ;2016AJ....152...50T
174;UGC 8084                           ;G  ;2769       ;0.009279    ;2781.91    ;    1;   23.12    Mpc ;                       ;        ;2008ApJ...676..184T
175;ESO 381-41                         ;G  ;2573       ;0.008620    ;2584.14    ;    1;   24.89    Mpc ;  -4.14       +4.14    ;T-F     ;2020ApJ...902..145K
176;ESO 575-61                         ;G  ;1647       ;0.005509    ;1651.55    ;    1;   38.73    Mpc ;  -7.84       +7.84    ;T-F     ;2020ApJ...902..145K
177;ESO 576-26                         ;G  ;1946       ;0.006512    ;1952.36    ;    1;   20.99    Mpc ;  -2.83       +2.83    ;T-F     ;2020ApJ...902..145K
