#;identifier;typ;radvel;redshift;cz;#dist;distance Q unit;err-err+;method;reference
14 ;NGC 6248                           ;G  ;1130       ;0.003776    ;1132.14    ;    1;   18.62    Mpc ;  -3.10       +3.10    ;T-F     ;2020ApJ...902..145K
15 ;UGC 4238                           ;G  ;1544       ;0.005164    ;1548.00    ;    1;   20.14    Mpc ;  -3.08       +3.08    ;T-F     ;2020ApJ...902..145K
16 ;UGC 9355                           ;G  ;2101       ;0.0070      ;2108       ;    1;   19.86    Mpc ;  -3.22       +3.22    ;T-F     ;2020ApJ...902..145K
17 ;NGC 4331                           ;G  ;1564       ;0.005231    ;1568.10    ;    1;   19.77    Mpc ;  -3.38       +3.38    ;T-F     ;2020ApJ...902..145K
18 ;NGC 4159                           ;G  ;1755       ;0.005871    ;1760.17    ;    1;   16.98    Mpc ;  -2.45       +2.45    ;T-F     ;2020ApJ...902..145K
19 ;NGC 6015                           ;G  ;833        ;0.002782    ;834.16     ;    1;   18.45    Mpc ;  -1.58       +1.58    ;T-F     ;2020ApJ...902..145K
20 ;2MASX J15123098+6553245            ;G  ;7089       ;0.023933    ;7174.83    ;    1;   18.79    Mpc ;  -4.74       +4.74    ;T-F     ;2020ApJ...902..145K
21 ;UGC 7908                           ;G  ;1667       ;0.005576    ;1671.66    ;    1;   21.09    Mpc ;  -5.12       +5.12    ;T-F     ;2020ApJ...902..145K
22 ;NGC 3027                           ;G  ;1059       ;0.003539    ;1060.88    ;    1;   14.19    Mpc ;  -1.02       +1.02    ;T-F     ;2020ApJ...902..145K
23 ;UGC 5612                           ;G  ;1010       ;0.003375    ;1011.71    ;    1;   18.11    Mpc ;  -2.93       +2.93    ;T-F     ;2020ApJ...902..145K
24 ;UGC 6378                           ;G  ;1308       ;0.004373    ;1310.87    ;    1;   17.30    Mpc ;  -1.87       +1.87    ;T-F     ;2020ApJ...902..145K
25 ;NGC 2549                           ;G  ;1062       ;0.003549    ;1063.96    ;    1;   12.5314  Mpc ;                       ;redshift;2019A&A...631A..38L
26 ;NGC 5870                           ;G  ;890        ;0.00297     ;891.0      ;    1;   16       Mpc ;                       ;        ;2007ApJS..173..185G
27 ;UGC 7019                           ;G  ;1517       ;0.005073    ;1520.86    ;    1;   26.92    Mpc ;  -7.02       +7.02    ;T-F     ;2020ApJ...902..145K
28 ;UGC 6534                           ;G  ;1269       ;0.004242    ;1271.70    ;    1;   16.07    Mpc ;  -2.24       +2.24    ;T-F     ;2020ApJ...902..145K
29 ;NGC 2950                           ;G  ;1369       ;0.004576    ;1371.85    ;    1;   15.28    Mpc ;                       ;        ;2016AJ....152...50T
30 ;UGC 4514                           ;G  ;694        ;0.002318    ;694.81     ;    1;   17.54    Mpc ;  -2.68       +2.68    ;T-F     ;2020ApJ...902..145K
31 ;UGC 9245                           ;G  ;1894       ;0.006338    ;1900.02    ;    1;   28.18    Mpc ;  -6.47       +6.47    ;T-F     ;2020ApJ...902..145K
32 ;UGC 8146                           ;G  ;666        ;0.002224    ;666.74     ;    1;   15.49    Mpc ;  -2.09       +2.09    ;T-F     ;2020ApJ...902..145K
33 ;UGC 5846                           ;G  ;1018       ;0.003402    ;1019.89    ;    1;   19.3000  Mpc ;                       ;redshift;2019A&A...631A..38L
34 ;NGC 3206                           ;G  ;1156       ;0.003863    ;1158.24    ;    1;   21.78    Mpc ;  -3.43       +3.43    ;T-F     ;2020ApJ...902..145K
35 ;UGC 4628                           ;G  ;777        ;0.002595    ;778.01     ;    1;   17.70    Mpc ;  -5.26       +5.26    ;T-F     ;2020ApJ...902..145K
36 ;NGC 5624                           ;G  ;1921       ;0.006428    ;1927.19    ;    1;   17.22    Mpc ;  -5.66       +5.66    ;T-F     ;2020ApJ...902..145K
37 ;UGC 6931                           ;G  ;670.7900   ;0.002240    ;671.54     ;    1;   23.01    Mpc ;  -4.56       +4.56    ;T-F     ;2020ApJ...902..145K
38 ;NGC 3913                           ;G  ;950        ;0.003174    ;951.51     ;    1;   19.8     Mpc ;                       ;        ;1996AJ....112.2471T
39 ;UGC 6894                           ;G  ;850        ;0.002839    ;851.21     ;    1;   17.54    Mpc ;  -1.97       +1.97    ;T-F     ;2020ApJ...902..145K
40 ;Mrk 1418                           ;G  ;774        ;0.002585    ;774.96     ;    1;   10.70    Mpc ;                       ;T-F     ;2011ApJS..192....6L
41 ;UGC 7267                           ;G  ;473        ;0.001579    ;473.37     ;    1;   15.78    Mpc ;  -2.70       +2.70    ;T-F     ;2020ApJ...902..145K
42 ;UGC 6922                           ;G  ;890        ;0.002972    ;890.98     ;    1;   19.8     Mpc ;                       ;        ;1996AJ....112.2471T
43 ;UGC 6399                           ;G  ;792        ;0.002645    ;793.05     ;    1;   20.89    Mpc ;  -1.97       +1.97    ;T-F     ;2020ApJ...902..145K
44 ;UGC 7176                           ;G  ;970        ;0.003241    ;971.57     ;    1;   16       Mpc ;                       ;        ;2007ApJS..173..185G
45 ;UGC 6773                           ;G  ;925        ;0.003090    ;926.43     ;    1;    9.86    Mpc ;                       ;        ;2016AJ....152...50T
46 ;NGC 3906                           ;G  ;943        ;0.003152    ;944.95     ;    1;   19.8     Mpc ;                       ;        ;1996AJ....112.2471T
47 ;NGC 5608                           ;G  ;663        ;0.002214    ;663.73     ;    1;   16.83    Mpc ;  -2.50       +2.50    ;T-F     ;2020ApJ...902..145K
48 ;UGC 6818                           ;G  ;807        ;0.002695    ;808.09     ;    1;   20.04    Mpc ;  -2.44       +2.44    ;T-F     ;2020ApJ...902..145K
49 ;UGC 6628                           ;G  ;849        ;0.002835    ;849.91     ;    1;   19.8     Mpc ;                       ;        ;1996AJ....112.2471T
50 ;ESO 547-5                          ;G  ;1592       ;0.005325    ;1596.25    ;    1;   29.65    Mpc ; -12.67      +12.67    ;T-F     ;2020ApJ...902..145K
51 ;ESO 480-25                         ;G  ;1730.5     ;0.005789    ;1735.52    ;    1;   27.16    Mpc ;  -8.80       +8.80    ;T-F     ;2020ApJ...902..145K
52 ;NGC 1337                           ;G  ;1237.2     ;0.004135    ;1239.76    ;    1;   14.66    Mpc ;  -1.19       +1.19    ;T-F     ;2020ApJ...902..145K
53 ;UGCA 75                            ;G  ;1887.8     ;0.006317    ;1893.78    ;    1;   16.75    Mpc ;  -5.13       +5.13    ;T-F     ;2020ApJ...902..145K
54 ;NAME UCD-FORS 50                   ;G  ;1245       ;0.004162    ;1247.60    ;    1;   19.000   Mpc ;                       ;        ;2008MNRAS.389.1924F
55 ;[MHJ2008] F-12                     ;G  ;1654       ;0.005532    ;1658.59    ;    1;   19.000   Mpc ;                       ;        ;2008MNRAS.389.1924F
56 ;NAME UCD28                         ;G  ;1764       ;0.005901    ;1769.22    ;    1;   19.000   Mpc ;                       ;        ;2008MNRAS.389.1924F
57 ;ESO 302-10                         ;G  ;1167.1     ;0.003901    ;1169.38    ;    1;   16.0     Mpc ;                       ;        ;2007ApJ...661..801O
58 ;ESO 359-22                         ;G  ;1428.7     ;0.004777    ;1432.12    ;    1;   18.55    Mpc ;                       ;        ;2011AJ....142...83N
59 ;LEDA 89985                         ;G  ;2120       ;0.007097    ;2127.55    ;    1;   20.14    Mpc ;  -2.45       +2.45    ;T-F     ;2020ApJ...902..145K
60 ;ESO 551-16                         ;G  ;1808       ;0.006049    ;1813.48    ;    1;   22.18    Mpc ;  -6.59       +6.59    ;T-F     ;2020ApJ...902..145K
61 ;ESO 421-19                         ;G  ;1475.4     ;0.004934    ;1479.05    ;    1;   17.8     Mpc ;                       ;T-F     ;2014MNRAS.444..527S
62 ;ESO 361-9                          ;G  ;1347.8     ;0.004506    ;1350.84    ;    1;   20.61    Mpc ;  -6.40       +6.40    ;T-F     ;2020ApJ...902..145K
63 ;ESO 485-21                         ;G  ;1373.7     ;0.004593    ;1376.86    ;    1;   11.32    Mpc ;  -4.74       +4.74    ;T-F     ;2020ApJ...902..145K
64 ;ESO 422-33                         ;G  ;1269.6     ;0.004244    ;1272.30    ;    1;   17.8     Mpc ;                       ;redshift;2006ApJS..165..307M
65 ;ESO 305-9                          ;G  ;1020.5     ;0.003410    ;1022.24    ;    1;   10.90    Mpc ;                       ;T-F     ;2011ApJS..192....6L
66 ;ESO 423-2                          ;G  ;1465.9     ;0.004902    ;1469.50    ;    1;   21.28    Mpc ;  -2.78       +2.78    ;T-F     ;2020ApJ...902..145K
67 ;NGC 1879                           ;G  ;1241.9     ;0.004151    ;1244.48    ;    1;   16.90    Mpc ;  -4.11       +4.11    ;T-F     ;2020ApJ...902..145K
68 ;ESO 362-11                         ;G  ;1345.0     ;0.004497    ;1348.03    ;    1;   17.62    Mpc ;  -1.74       +1.74    ;T-F     ;2020ApJ...902..145K
69 ;ESO 362-19                         ;G  ;1289.1     ;0.004309    ;1291.88    ;    1;   14.06    Mpc ;  -1.71       +1.71    ;T-F     ;2020ApJ...902..145K
70 ;ESO 305-17                         ;G  ;1071.3     ;0.003580    ;1073.22    ;    1;   19.86    Mpc ;  -3.40       +3.40    ;T-F     ;2020ApJ...902..145K
71 ;ESO 487-35                         ;G  ;1721.2     ;0.005758    ;1726.17    ;    1;   15.21    Mpc ;  -2.39       +2.39    ;T-F     ;2020ApJ...902..145K
72 ;ESO 363-15                         ;G  ;1262.0     ;0.004218    ;1264.67    ;    1;   15.42    Mpc ;  -3.54       +3.54    ;T-F     ;2020ApJ...902..145K
73 ;LEDA 18857                         ;G  ;788.2      ;0.002633    ;789.24     ;    1;   15.85    Mpc ;                       ;        ;2016AJ....152...50T
74 ;ESO 426-1                          ;G  ;1792.4     ;0.005997    ;1797.79    ;    1;   19.23    Mpc ;  -2.25       +2.25    ;T-F     ;2020ApJ...902..145K
75 ;ESO 490-10                         ;G  ;1825.9     ;0.006109    ;1831.49    ;    1;   17.54    Mpc ;  -2.60       +2.60    ;T-F     ;2020ApJ...902..145K
76 ;ESO 490-45                         ;G  ;1704.9     ;0.005703    ;1709.78    ;    1;   18.11    Mpc ;  -1.39       +1.39    ;T-F     ;2020ApJ...902..145K
77 ;MCG-01-19-001                      ;G  ;1615       ;0.005402    ;1619.37    ;    1;   17.30    Mpc ;  -2.57       +2.57    ;T-F     ;2020ApJ...902..145K
78 ;ESO 495-9                          ;G  ;1466       ;0.004902    ;1469.60    ;    1;   17.70    Mpc ;                       ;        ;2008ApJ...676..184T
79 ;ESO 430-30                         ;G  ;1485.6     ;0.004968    ;1489.30    ;    1;   16.98    Mpc ;  -4.74       +4.74    ;T-F     ;2020ApJ...902..145K
80 ;UGC 4444                           ;G  ;2083       ;0.006972    ;2090.29    ;    1;   35.48    Mpc ;  -3.99       +3.99    ;T-F     ;2020ApJ...902..145K
81 ;ESO 431-18                         ;G  ;1539.5     ;0.005148    ;1543.47    ;    1;   19.68    Mpc ;  -3.28       +3.28    ;T-F     ;2020ApJ...902..145K
82 ;NGC 2644                           ;G  ;1943       ;0.006502    ;1949.34    ;    1;   21.88    Mpc ;  -1.58       +1.58    ;T-F     ;2020ApJ...902..145K
83 ;LEDA 24494                         ;G  ;2019.4     ;0.006759    ;2026.25    ;    1;   18.28    Mpc ;  -2.80       +2.80    ;T-F     ;2020ApJ...902..145K
84 ;NGC 7091                           ;G  ;2571.1     ;0.008613    ;2582.22    ;    1; 0.00201005 Mpc;-191.9143   +191.9143  ;paral   ;2020yCat.1350....0G
85 ;ESO 291-3                          ;G  ;1374.1     ;0.004594    ;1377.26    ;    1;   19.1     Mpc ;                       ;        ;2011AJ....142...83N
86 ;ESO 243-50                         ;G  ;1471.5     ;0.004921    ;1475.13    ;    1;   19.7     Mpc ;                       ;        ;2011AJ....142...83N
87 ;NGC 7361                           ;G  ;1251.8     ;0.004184    ;1254.42    ;    1;   14.93    Mpc ;  -1.81       +1.81    ;T-F     ;2020ApJ...902..145K
88 ;NGC 7                              ;G  ;1505.2     ;0.005033    ;1509.00    ;    1;   18.03    Mpc ;  -1.95       +1.95    ;T-F     ;2020ApJ...902..145K
89 ;IC 5078                            ;G  ;1474.3     ;0.004930    ;1477.94    ;    1;   20.80    Mpc ;  -1.68       +1.68    ;T-F     ;2020ApJ...902..145K
90 ;NGC 578                            ;G  ;1626.2     ;0.005439    ;1630.63    ;    1;   20.42    Mpc ;  -3.22       +3.22    ;T-F     ;2020ApJ...902..145K
91 ;ESO 545-2                          ;G  ;1618.0     ;0.005412    ;1622.39    ;    1;   18.97    Mpc ;  -2.30       +2.30    ;T-F     ;2020ApJ...902..145K
92 ;LEDA 938611                        ;G  ;1218.8     ;0.004074    ;1221.29    ;    1;   17.9     Mpc ;                       ;        ;2011AJ....142...83N
93 ;UGCA 14                            ;G  ;1343.2     ;0.004491    ;1346.22    ;    1;   14.06    Mpc ;  -2.09       +2.09    ;T-F     ;2020ApJ...902..145K
94 ;MCG-01-08-001                      ;G  ;1403.2     ;0.004692    ;1406.50    ;    1;   19       Mpc ;                       ;        ;2007ApJS..173..185G
95 ;6dFGS gJ024149.8-075535            ;G  ;1373       ;0.004590    ;1376.16    ;    1;   18       Mpc ;                       ;        ;2007ApJS..173..185G
96 ;UGCA 432                           ;G  ;2915.5     ;0.009773    ;2929.82    ;    1;   17.5     Mpc ;                       ;T-F     ;2014MNRAS.444..527S
97 ;NGC 7406                           ;G  ;1601       ;0.005355    ;1605.30    ;    1;   22.70    Mpc ;  -5.41       +5.41    ;T-F     ;2020ApJ...902..145K
98 ;UGCA 24                            ;G  ;1362.6     ;0.004556    ;1365.71    ;    1;   17.95    Mpc ;  -2.75       +2.75    ;T-F     ;2020ApJ...902..145K
99 ;UGCA 44                            ;G  ;1091.5     ;0.003648    ;1093.49    ;    1;   15.5     Mpc ;                       ;redshift;2006ApJS..165..307M
100;IC 225                             ;G  ;1531       ;0.00512     ;1534.9     ;    1;   17.7     Mpc ;                       ;        ;2008MNRAS.389.1924F
101;NGC 7750                           ;G  ;2901       ;0.009724    ;2915.17    ;    1;   27.67    Mpc ;  -2.49       +2.49    ;T-F     ;2020ApJ...902..145K
102;Z 410-2                            ;G  ;2932       ;0.009828    ;2946.48    ;    1;   16.44    Mpc ;  -2.07       +2.07    ;T-F     ;2020ApJ...902..145K
103;UGC 313                            ;G  ;2101       ;0.007033    ;2108.41    ;    1;   16.14    Mpc ;  -3.12       +3.12    ;T-F     ;2020ApJ...902..145K
104;Z 411-42                           ;G  ;2689       ;0.009010    ;2701.17    ;    1;   19.68    Mpc ;                       ;        ;2016AJ....152...50T
105;Mrk 600                            ;G  ;1013       ;0.003385    ;1014.72    ;    1;   15.0     Mpc ;                       ;        ;2000ApJ...529..786M
106;UGC 191                            ;G  ;1144       ;0.003823    ;1146.19    ;    1;   18.37    Mpc ;                       ;        ;2016AJ....152...50T
107;NGC 63                             ;G  ;1155       ;0.003860    ;1157.23    ;    1;   18.62    Mpc ;                       ;        ;2016AJ....152...50T
108;UGC 156                            ;G  ;1135       ;0.003793    ;1137.16    ;    1;   16.29    Mpc ;  -1.69       +1.69    ;T-F     ;2020ApJ...902..145K
109;UGC 11866                          ;G  ;1703       ;0.005697    ;1707.86    ;    1;   18.37    Mpc ;  -2.56       +2.56    ;T-F     ;2020ApJ...902..145K
110;UGC 11921                          ;G  ;1674       ;0.005600    ;1678.70    ;    1;   19.50    Mpc ;  -1.58       +1.58    ;T-F     ;2020ApJ...902..145K
111;UGC 17                             ;G  ;876        ;0.002926    ;877.28     ;    1;   19.41    Mpc ;                       ;        ;2016AJ....152...50T
112;UGC 12344                          ;G  ;1626       ;0.005439    ;1630.43    ;    1;   18.37    Mpc ;  -1.49       +1.49    ;T-F     ;2020ApJ...902..145K
113;NGC 7497                           ;G  ;1707       ;0.005710    ;1711.89    ;    1;   16.90    Mpc ;  -1.06       +1.06    ;T-F     ;2020ApJ...902..145K
114;UGC 12843                          ;G  ;1772       ;0.005928    ;1777.27    ;    1;   21.58    Mpc ;  -2.04       +2.04    ;T-F     ;2020ApJ...902..145K
115;UGC 1999                           ;G  ;970        ;0.003241    ;971.57     ;    1;   17.30    Mpc ;  -1.32       +1.32    ;T-F     ;2020ApJ...902..145K
116;UGC 12340                          ;G  ;1056       ;0.003529    ;1057.87    ;    1;   20.89    Mpc ;  -2.07       +2.07    ;T-F     ;2020ApJ...902..145K
117;UGC 12639                          ;G  ;4539       ;0.015257    ;4573.89    ;    1;   17.5     Mpc ;                       ;T-F     ;2014MNRAS.444..527S
118;UGC 285                            ;G  ;2188       ;0.007325    ;2196.04    ;    1;   17.14    Mpc ;  -4.86       +4.86    ;T-F     ;2020ApJ...902..145K
119;MCG+04-50-007                      ;G  ;936        ;0.003127    ;937.47     ;    1;   16.07    Mpc ;  -2.31       +2.31    ;T-F     ;2020ApJ...902..145K
120;UGC 11707                          ;G  ;905        ;0.003023    ;906.37     ;    1;   19.68    Mpc ;  -2.30       +2.30    ;T-F     ;2020ApJ...902..145K
121;UGC 1958                           ;G  ;1015       ;0.003391    ;1016.72    ;    1;   19.86    Mpc ;                       ;        ;2016AJ....152...50T
122;NGC 1012                           ;G  ;985        ;0.003291    ;986.62     ;    1;   16.3     Mpc ;                       ;redshift;2011MNRAS.413..813C
123;NGC 7250                           ;G  ;1168       ;0.0039      ;1170       ;    1;   10.81    Mpc ;  -1.51       +1.51    ;T-F     ;2020ApJ...902..145K
124;UGC 4787                           ;G  ;552        ;0.001843    ;552.51     ;    1;   15.00    Mpc ;  -1.75       +1.75    ;T-F     ;2020ApJ...902..145K
125;UGC 4722                           ;G  ;1819       ;0.006085    ;1824.24    ;    1;   17.14    Mpc ;  -1.39       +1.39    ;T-F     ;2020ApJ...902..145K
126;NGC 2731                           ;G  ;2582       ;0.008650    ;2593.22    ;    1;   19.77    Mpc ;  -2.14       +2.14    ;T-F     ;2020ApJ...902..145K
127;NGC 2775                           ;G  ;1353       ;0.004523    ;1356.07    ;    1;   20.5     Mpc ;                       ;redshift;2011MNRAS.413..813C
128;ESO 372-8                          ;G  ;1531.8     ;0.005123    ;1535.73    ;    1;   19.68    Mpc ;  -3.19       +3.19    ;T-F     ;2020ApJ...902..145K
129;ESO 565-1                          ;G  ;846.0      ;0.002826    ;847.20     ;    1;    7.50    Mpc ;                       ;T-F     ;2011ApJS..192....6L
130;ESO 434-19                         ;G  ;1030       ;0.003442    ;1031.78    ;    1;   16.37    Mpc ;  -3.39       +3.39    ;T-F     ;2020ApJ...902..145K
131;NGC 3044                           ;G  ;1288.5     ;0.004307    ;1291.28    ;    1;   18.03    Mpc ;  -1.05       +1.05    ;T-F     ;2020ApJ...902..145K
132;UGC 5245                           ;G  ;1410.0     ;0.004714    ;1413.33    ;    1;   17.14    Mpc ;  -2.16       +2.16    ;T-F     ;2020ApJ...902..145K
133;ESO 434-34                         ;G  ;991.9      ;0.003314    ;993.55     ;    1;   15.00    Mpc ;  -3.44       +3.44    ;T-F     ;2020ApJ...902..145K
134;LEDA 2806869                       ;G  ;1352       ;0.004520    ;1355.06    ;    1;   18.5     Mpc ;                       ;        ;2009A&A...505..577T
135;ESO 499-37                         ;G  ;953.0      ;0.003184    ;954.52     ;    1;   17.14    Mpc ;  -2.47       +2.47    ;T-F     ;2020ApJ...902..145K
136;ESO 435-15                         ;G  ;2441       ;0.008176    ;2451.02    ;    1;   19.59    Mpc ;  -4.85       +4.85    ;T-F     ;2020ApJ...902..145K
137;IC 600                             ;G  ;1311.1     ;0.004383    ;1313.98    ;    1;   18.88    Mpc ;  -2.38       +2.38    ;T-F     ;2020ApJ...902..145K
138;UGC 5716                           ;G  ;1276       ;0.004265    ;1278.73    ;    1;   21.30    Mpc ;  -5.30       +5.30    ;T-F     ;2016ApJ...816L..14L
139;ESO 317-46                         ;G  ;962.6      ;0.003216    ;964.15     ;    1;   15.14    Mpc ;  -3.34       +3.34    ;T-F     ;2020ApJ...902..145K
140;UGC 5934                           ;G  ;1607       ;0.005375    ;1611.33    ;    1;   18.62    Mpc ;  -3.60       +3.60    ;T-F     ;2020ApJ...902..145K
141;NGC 3355                           ;G  ;1196.0     ;0.003997    ;1198.40    ;    1;   37       Mpc ;  -7          +7       ;T-F     ;2008ApJ...676..184T
142;ESO 376-22                         ;G  ;968.9      ;0.003237    ;970.47     ;    1;   15.92    Mpc ;  -3.51       +3.51    ;T-F     ;2020ApJ...902..145K
143;UGC 5989                           ;G  ;1127       ;0.003766    ;1129.13    ;    1;   16.07    Mpc ;  -1.37       +1.37    ;T-F     ;2020ApJ...902..145K
144;ESO 265-3                          ;G  ;1388.5     ;0.004642    ;1391.73    ;    1;   17.95    Mpc ;  -2.67       +2.67    ;T-F     ;2020ApJ...902..145K
145;ESO 265-2                          ;G  ;1301       ;0.004349    ;1303.84    ;    1;   17.14    Mpc ;                       ;        ;2016AJ....152...50T
146;Z 39-68                            ;G  ;1396       ;0.004667    ;1399.27    ;    1;   16.37    Mpc ;  -1.92       +1.92    ;T-F     ;2020ApJ...902..145K
147;ESO 502-23                         ;G  ;1455.3     ;0.004866    ;1458.85    ;    1;   19.9     Mpc ;                       ;        ;2011AJ....142...83N
148;ESO 502-16                         ;G  ;1513.2     ;0.005060    ;1517.04    ;    1;   15.07    Mpc ;  -2.98       +2.98    ;T-F     ;2020ApJ...902..145K
149;ESO 438-5                          ;G  ;1496.6     ;0.005005    ;1500.35    ;    1;   17.22    Mpc ;  -3.02       +3.02    ;T-F     ;2020ApJ...902..145K
150;ESO 570-19                         ;G  ;1335.1     ;0.004463    ;1338.09    ;    1;   31.48    Mpc ;  -4.67       +4.67    ;T-F     ;2020ApJ...902..145K
151;ESO 438-17                         ;G  ;1249.3     ;0.004176    ;1251.91    ;    1;   19.77    Mpc ;  -5.07       +5.07    ;T-F     ;2020ApJ...902..145K
152;Z 185-76                           ;G  ;1906       ;0.006378    ;1912.10    ;    1;   19.77    Mpc ;  -1.69       +1.69    ;T-F     ;2020ApJ...902..145K
153;NGC 3887                           ;G  ;1205.5     ;0.004029    ;1207.93    ;    1;   18       Mpc ;  -3          +3       ;T-F     ;2008ApJ...676..184T
154;UGC 6900                           ;G  ;587        ;0.001960    ;587.58     ;    1;   17.06    Mpc ;  -2.30       +2.30    ;T-F     ;2020ApJ...902..145K
155;ESO 572-12                         ;G  ;1671.4     ;0.005591    ;1676.09    ;    1;   15.85    Mpc ;                       ;        ;2016AJ....152...50T
156;UGC 7125                           ;G  ;1072       ;0.003582    ;1073.92    ;    1;   13.06    Mpc ;  -1.35       +1.35    ;T-F     ;2020ApJ...902..145K
157;ESO 441-7                          ;G  ;2213.7     ;0.007412    ;2221.93    ;    1;   19.68    Mpc ;  -2.66       +2.66    ;T-F     ;2020ApJ...902..145K
158;UGC 7223                           ;G  ;2073       ;0.006939    ;2080.22    ;    1;   34.99    Mpc ;                       ;        ;2016AJ....152...50T
159;IC 3081                            ;G  ;1095       ;0.00366     ;1097.2     ;    1;   19.7     Mpc ;                       ;        ;2008MNRAS.389.1924F
160;LEDA 39894                         ;G  ;927        ;0.003097    ;928.44     ;    1;   16.12    Mpc ;                       ;        ;2008AJ....136..713K
161;LEDA 39883                         ;G  ;672        ;0.002244    ;672.75     ;    1;   16.7     Mpc ;                       ;        ;2007AJ....133.2569G
162;IC 3120                            ;G  ;248        ;0.000828    ;248.10     ;    1;   16.7     Mpc ;                       ;        ;2007AJ....133.2569G
163;UGC 7424                           ;G  ;851        ;0.002843    ;852.21     ;    1;   16.12    Mpc ;                       ;        ;2008AJ....136..713K
164;NGC 4219                           ;G  ;1989.0     ;0.006657    ;1995.64    ;    1;   19.32    Mpc ;  -1.56       +1.56    ;T-F     ;2020ApJ...902..145K
165;IC 3365                            ;G  ;2340       ;0.007836    ;2349.20    ;    1;   15.92    Mpc ;  -1.50       +1.50    ;T-F     ;2020ApJ...902..145K
166;IC 3224                            ;G  ;9          ;0.000030    ;9.00       ;    1;   16.7     Mpc ;                       ;        ;2007AJ....133.2569G
167;IC 3467                            ;G  ;7416       ;0.02505     ;7509.8     ;    1;   89.54    Mpc ;  -5.24       +5.24    ;T-F     ;2020ApJ...902..145K
168;SDSS J122933.64+131145.6           ;G  ;1215       ;0.004061    ;1217.47    ;    1;   16.7     Mpc ;                       ;        ;2007AJ....133.2569G
169;Hanes IV-67                        ;G  ;714        ;0.002384    ;714.85     ;    1;   18.100   Mpc ;                       ;        ;2008MNRAS.389.1924F
170;NGVS J123045.92+122501.6           ;G  ;1466       ;0.004902    ;1469.60    ;    1;   18.100   Mpc ;                       ;        ;2008MNRAS.389.1924F
171;[HJC2005] 1316-3                   ;G  ;1883       ;0.006301    ;1888.95    ;    1;   18.100   Mpc ;                       ;        ;2008MNRAS.389.1924F
172;LEDA 40409                         ;G  ;877        ;0.002930    ;878.29     ;    1;   16.12    Mpc ;                       ;        ;2008AJ....136..713K
173;LEDA 41090                         ;G  ;1088       ;0.003636    ;1089.98    ;    1;   16.12    Mpc ;                       ;        ;2008AJ....136..713K
174;LEDA 41325                         ;G  ;1101       ;0.003679    ;1103.03    ;    1;   16.12    Mpc ;                       ;        ;2008AJ....136..713K
175;LEDA 40107                         ;G  ;1410       ;0.004714    ;1413.33    ;    1;   16.12    Mpc ;                       ;        ;2008AJ....136..713K
176;LEDA 40670                         ;G  ;1089       ;0.003639    ;1090.99    ;    1;   16.90    Mpc ;                       ;        ;2016AJ....152...50T
177;2MASX J12300506+0804241            ;G  ;1268       ;0.00424     ;1271.1     ;    1;   22.1     Mpc ;                       ;        ;2008MNRAS.389.1924F
178;UGCA 286                           ;G  ;1287.0     ;0.004302    ;1289.77    ;    1;   18.97    Mpc ;                       ;        ;2016AJ....152...50T
179;Z 99-108                           ;G  ;1701       ;0.00569     ;1705.8     ;    1;   16.14    Mpc ;                       ;        ;2016AJ....152...50T
