#;identifier;typ;radvel;redshift;cz;#dist;distance Q unit;err-err+;method;reference
1  ;UGC 11891                          ;G  ;461         ;0.001538    ;461.08      ;    1;   10.80    Mpc ;                       ;T-F     ;2011ApJS..192....6L
25 ;UGC 4514                           ;G  ;694         ;0.002318    ;694.81      ;    1;   17.54    Mpc ;  -2.68       +2.68    ;T-F     ;2020ApJ...902..145K
26 ;NGC 2552                           ;G  ;521         ;0.001739    ;521.45      ;    1;   11.64    Mpc ;  -1.52       +1.52    ;T-F     ;2020ApJ...902..145K
27 ;UGC 9893                           ;G  ;652         ;0.002177    ;652.71      ;    1;   10.90    Mpc ;                       ;T-F     ;2011ApJS..192....6L
28 ;UGC 8146                           ;G  ;666         ;0.002224    ;666.74      ;    1;   15.49    Mpc ;  -2.09       +2.09    ;T-F     ;2020ApJ...902..145K
29 ;UGC 4628                           ;G  ;777         ;0.002595    ;778.01      ;    1;   17.70    Mpc ;  -5.26       +5.26    ;T-F     ;2020ApJ...902..145K
30 ;UGC 4148                           ;G  ;731         ;0.002441    ;731.89      ;    1;   24.32    Mpc ;                       ;        ;2016AJ....152...50T
31 ;UGC 7534                           ;G  ;722         ;0.002412    ;723.10      ;    1;   10.50    Mpc ;                       ;redshift;2018MNRAS.479.4136K
32 ;UGC 9660                           ;G  ;589         ;0.001968    ;589.99      ;    1;   10.20    Mpc ;                       ;T-F     ;2011ApJS..192....6L
33 ;Mrk 1418                           ;G  ;774         ;0.002585    ;774.96      ;    1;   10.70    Mpc ;                       ;T-F     ;2011ApJS..192....6L
34 ;UGC 9211                           ;G  ;689         ;0.002302    ;690.12      ;    1;   10.70    Mpc ;                       ;T-F     ;2011ApJS..192....6L
35 ;UGC 7218                           ;G  ;778         ;0.002598    ;778.86      ;    1;   11.53    Mpc ;                       ;        ;2016AJ....152...50T
36 ;UGC 6773                           ;G  ;925         ;0.003090    ;926.43      ;    1;    9.86    Mpc ;                       ;        ;2016AJ....152...50T
37 ;NGC 5608                           ;G  ;663         ;0.002214    ;663.73      ;    1;   16.83    Mpc ;  -2.50       +2.50    ;T-F     ;2020ApJ...902..145K
38 ;Mrk 1069                           ;G  ;1552.0      ;0.005190    ;1556.04     ;    1;   11.53    Mpc ;  -2.44       +2.44    ;T-F     ;2020ApJ...902..145K
39 ;NGC 1337                           ;G  ;1237.2      ;0.004135    ;1239.76     ;    1;   14.66    Mpc ;  -1.19       +1.19    ;T-F     ;2020ApJ...902..145K
40 ;SINGG HIPASS J0403-01              ;G  ;935.7       ;0.003126    ;937.16      ;    1;   13.5     Mpc ;                       ;redshift;2006ApJS..165..307M
41 ;ESO 483-13                         ;G  ;898.0       ;0.003000    ;899.35      ;    1;   10.40    Mpc ;                       ;T-F     ;2011ApJS..192....6L
42 ;ESO 550-24                         ;G  ;897.6       ;0.002999    ;898.95      ;    1;   11.22    Mpc ;  -1.77       +1.77    ;T-F     ;2020ApJ...902..145K
43 ;ESO 485-21                         ;G  ;1373.7      ;0.004593    ;1376.86     ;    1;   11.32    Mpc ;  -4.74       +4.74    ;T-F     ;2020ApJ...902..145K
44 ;ESO 486-21                         ;G  ;831.1       ;0.002776    ;832.26      ;    1;    8.90    Mpc ;                       ;T-F     ;2011ApJS..192....6L
45 ;ESO 422-41                         ;G  ;974.1       ;0.003255    ;975.69      ;    1;   10.40    Mpc ;                       ;T-F     ;2011ApJS..192....6L
46 ;NGC 1800                           ;G  ;814.2       ;0.002720    ;815.31      ;    1;    8.20    Mpc ;                       ;T-F     ;2011ApJS..192....6L
47 ;ESO 362-9                          ;G  ;927.1       ;0.003097    ;928.54      ;    1;    9.80    Mpc ;                       ;T-F     ;2011ApJS..192....6L
48 ;ESO 305-9                          ;G  ;1020.5      ;0.003410    ;1022.24     ;    1;   10.90    Mpc ;                       ;T-F     ;2011ApJS..192....6L
49 ;ESO 362-11                         ;G  ;1345.0      ;0.004497    ;1348.03     ;    1;   17.62    Mpc ;  -1.74       +1.74    ;T-F     ;2020ApJ...902..145K
50 ;ESO 362-19                         ;G  ;1289.1      ;0.004309    ;1291.88     ;    1;   14.06    Mpc ;  -1.71       +1.71    ;T-F     ;2020ApJ...902..145K
51 ;ESO 305-17                         ;G  ;1071.3      ;0.003580    ;1073.22     ;    1;   19.86    Mpc ;  -3.40       +3.40    ;T-F     ;2020ApJ...902..145K
52 ;ESO 363-15                         ;G  ;1262.0      ;0.004218    ;1264.67     ;    1;   15.42    Mpc ;  -3.54       +3.54    ;T-F     ;2020ApJ...902..145K
53 ;LEDA 19343                         ;G  ;746.2       ;0.002492    ;747.13      ;    1;   12.42    Mpc ;  -1.40       +1.40    ;T-F     ;2020ApJ...902..145K
54 ;IC 2171                            ;G  ;788.8       ;0.002635    ;789.84      ;    1;    9.04    Mpc ;  -2.07       +2.07    ;T-F     ;2020ApJ...902..145K
55 ;NGC 2283                           ;G  ;840.6       ;0.002808    ;841.78      ;    1;   10.00    Mpc ;                       ;redshift;2018MNRAS.479.4136K
56 ;2MASX J06465663-1756271            ;G  ;702.6       ;0.002346    ;703.43      ;    1;   10.00    Mpc ;                       ;redshift;2018MNRAS.479.4136K
57 ;NGC 2310                           ;G  ;1012        ;0.003382    ;1013.90     ;    1;   13       Mpc ;                       ;        ;2007ApJS..173..185G
58 ;UGC 3860                           ;G  ;348         ;0.001163    ;348.66      ;    1;    7.81    Mpc ;                       ;T-F     ;2011ApJS..192....6L
59 ;UGC 3830                           ;G  ;1394        ;0.004660    ;1397.00     ;    1;   14.45    Mpc ;                       ;        ;2008ApJ...676..184T
60 ;UGC 3966                           ;G  ;360         ;0.001201    ;360.05      ;    1;    6.80    Mpc ;                       ;T-F     ;2011ApJS..192....6L
61 ;ESO 290-28                         ;G  ;928.2       ;0.003101    ;929.64      ;    1;   13.4     Mpc ;                       ;        ;2007ApJ...661..801O
62 ;NGC 7361                           ;G  ;1251.8      ;0.004184    ;1254.42     ;    1;   14.93    Mpc ;  -1.81       +1.81    ;T-F     ;2020ApJ...902..145K
63 ;IC 1558                            ;G  ;1552.0      ;0.005190    ;1556.04     ;    1;    9.0     Mpc ;                       ;T-F     ;2014MNRAS.444..527S
64 ;LEDA 812517                        ;G  ;1019.7      ;0.003407    ;1021.44     ;    1;   14.6     Mpc ;                       ;        ;2011AJ....142...83N
65 ;UGCA 14                            ;G  ;1343.2      ;0.004491    ;1346.22     ;    1;   14.06    Mpc ;  -2.09       +2.09    ;T-F     ;2020ApJ...902..145K
66 ;MCG-01-57-015                      ;G  ;888.6       ;0.002968    ;889.92      ;    1;   14.1     Mpc ;                       ;        ;2007ApJ...661..801O
67 ;UGCA 433                           ;G  ;831.4       ;0.002777    ;832.56      ;    1;   13.2     Mpc ;                       ;redshift;2006ApJS..165..307M
68 ;UGC 2345                           ;G  ;1507.7      ;0.005042    ;1511.51     ;    1;   14.26    Mpc ;                       ;        ;2016AJ....152...50T
69 ;UGC 11782                          ;G  ;1110        ;0.003709    ;1111.93     ;    1;   14.19    Mpc ;                       ;        ;2016AJ....152...50T
70 ;UGC 521                            ;G  ;698         ;0.00233     ;698.5       ;    1;   11.30    Mpc ;                       ;T-F     ;2011ApJS..192....6L
71 ;UGC 891                            ;G  ;645         ;0.002154    ;645.70      ;    1;   10.80    Mpc ;                       ;T-F     ;2011ApJS..192....6L
72 ;UGC 17                             ;G  ;876         ;0.002926    ;877.28      ;    1;   19.41    Mpc ;                       ;        ;2016AJ....152...50T
73 ;UGC 290                            ;G  ;764         ;0.002552    ;764.98      ;    1;   12.76    Mpc ;                       ;        ;2016AJ....152...50T
74 ;NGC 7497                           ;G  ;1707        ;0.005710    ;1711.89     ;    1;   16.90    Mpc ;  -1.06       +1.06    ;T-F     ;2020ApJ...902..145K
75 ;UGC 1056                           ;G  ;594         ;0.001983    ;594.59      ;    1;   10.30    Mpc ;                       ;T-F     ;2011ApJS..192....6L
76 ;M 74                               ;G  ;657         ;0.002194    ;657.72      ;    1;    7.30    Mpc ;                       ;T-F     ;2011ApJS..192....6L
77 ;NGC 1036                           ;G  ;754.9       ;0.002521    ;755.85      ;    1;   12.4     Mpc ;                       ;        ;2000ApJ...529..786M
78 ;Z 463-25                           ;G  ;1234        ;0.004125    ;1236.55     ;    1;   11.38    Mpc ;                       ;        ;2016AJ....152...50T
79 ;UGC 1561                           ;G  ;606         ;0.002023    ;606.61      ;    1;   10.50    Mpc ;                       ;T-F     ;2011ApJS..192....6L
80 ;IC 1473                            ;G  ;836         ;0.002792    ;837.17      ;    1;   12.42    Mpc ;                       ;        ;2016AJ....152...50T
81 ;UGC 12713                          ;G  ;295         ;0.000984    ;295.15      ;    1;    7.70    Mpc ;                       ;T-F     ;2011ApJS..192....6L
82 ;MCG+04-50-007                      ;G  ;936         ;0.003127    ;937.47      ;    1;   16.07    Mpc ;  -2.31       +2.31    ;T-F     ;2020ApJ...902..145K
83 ;NGC 7292                           ;G  ;897         ;0.002996    ;898.2382    ;    1;   13.70    Mpc ;                       ;redshift;2019ApJ...880....7C
84 ;NGC 7457                           ;G  ;804         ;0.002685    ;804.94      ;    1;   12.08    Mpc ;                       ;        ;2016AJ....152...50T
85 ;LEDA 1800124                       ;G  ;978         ;0.003268    ;979.60      ;    1;   13.3     Mpc ;                       ;        ;2008AJ....135..588S
86 ;UGC 12082                          ;G  ;802         ;0.002679    ;803.08      ;    1;   14.7     Mpc ;                       ;        ;2005A&A...436..443V
87 ;NGC 7250                           ;G  ;1168        ;0.0039      ;1170        ;    1;   10.81    Mpc ;  -1.51       +1.51    ;T-F     ;2020ApJ...902..145K
88 ;ESO 497-17                         ;G  ;724         ;0.002418    ;724.88      ;    1;    9.80    Mpc ;                       ;T-F     ;2011ApJS..192....6L
89 ;ESO 497-35                         ;G  ;828.7       ;0.002768    ;829.85      ;    1;   10.30    Mpc ;                       ;redshift;2018MNRAS.479.4136K
90 ;ESO 565-1                          ;G  ;846.0       ;0.002826    ;847.20      ;    1;    7.50    Mpc ;                       ;T-F     ;2011ApJS..192....6L
91 ;ESO 373-6                          ;G  ;1045.6      ;0.003494    ;1047.43     ;    1;   12.5     Mpc ;                       ;        ;2011AJ....142...83N
92 ;ESO 434-34                         ;G  ;991.9       ;0.003314    ;993.55      ;    1;   15.00    Mpc ;  -3.44       +3.44    ;T-F     ;2020ApJ...902..145K
93 ;UGC 5340                           ;G  ;507         ;0.001693    ;507.43      ;    1;    5.90    Mpc ;                       ;T-F     ;2011ApJS..192....6L
94 ;UGC 5456                           ;G  ;536         ;0.001790    ;536.48      ;    1;    3.80    Mpc ;                       ;T-F     ;2011ApJS..192....6L
95 ;ESO 499-37                         ;G  ;953.0       ;0.003184    ;954.52      ;    1;   17.14    Mpc ;  -2.47       +2.47    ;T-F     ;2020ApJ...902..145K
96 ;Z 65-74                            ;G  ;1172        ;0.003917    ;1174.30     ;    1;   10.40    Mpc ;                       ;redshift;2018MNRAS.479.4136K
97 ;UGC 6102                           ;G  ;697         ;0.002328    ;697.81      ;    1;    8.50    Mpc ;                       ;T-F     ;2011ApJS..192....6L
98 ;UGC 6014                           ;G  ;1133        ;0.003786    ;1135.15     ;    1;   10.40    Mpc ;                       ;redshift;2018MNRAS.479.4136K
99 ;UGC 6161                           ;G  ;759         ;0.002535    ;759.96      ;    1;   13.87    Mpc ;  -2.93       +2.93    ;T-F     ;2020ApJ...902..145K
100;LEDA 3097702                       ;G  ;1037.9      ;0.003468    ;1039.70     ;    1;   12.7     Mpc ;                       ;        ;2007ApJ...661..801O
101;ESO 377-3                          ;G  ;998.4       ;0.003336    ;1000.07     ;    1;    9.20    Mpc ;                       ;T-F     ;2011ApJS..192....6L
102;Mrk 1302                           ;G  ;5527        ;0.01861     ;5579.1      ;    1;   11.97    Mpc ;  -1.83       +1.83    ;T-F     ;2020ApJ...902..145K
103;UGC 7125                           ;G  ;1072        ;0.003582    ;1073.92     ;    1;   13.06    Mpc ;  -1.35       +1.35    ;T-F     ;2020ApJ...902..145K
104;UGC 7007                           ;G  ;774         ;0.002585    ;775.00      ;    1;   10.10    Mpc ;                       ;T-F     ;2011ApJS..192....6L
105;UGC 7257                           ;G  ;938         ;0.003134    ;939.47      ;    1;    8.80    Mpc ;                       ;redshift;2018MNRAS.479.4136K
106;UGC 7438                           ;G  ;694         ;0.002318    ;694.81      ;    1;   10.33    Mpc ;  -4.14       +4.14    ;T-F     ;2020ApJ...902..145K
107;IC 3167                            ;G  ;1874        ;0.00627     ;1879.7      ;    1;   13.7903  Mpc ;                       ;redshift;2019A&A...631A..38L
108;IC 3131                            ;G  ;1643        ;0.005494    ;1647.06     ;    1;   13.7357  Mpc ;                       ;redshift;2019A&A...631A..38L
109;MCG-02-31-026                      ;G  ;1171.4      ;0.003915    ;1173.70     ;    1;   13.9     Mpc ;                       ;redshift;2006ApJS..165..307M
110;IC 3430                            ;G  ;2112        ;0.00707     ;2119.5      ;    1;   13.7493  Mpc ;                       ;redshift;2019A&A...631A..38L
111;LEDA 40759                         ;G  ;1271        ;0.00425     ;1274.1      ;    1;   13.8176  Mpc ;                       ;redshift;2019A&A...631A..38L
112;Z 99-97                            ;G  ;9060        ;0.03069     ;9200.6      ;    1;  139.96    Mpc ;                       ;        ;2016AJ....152...50T
113;IC 3612                            ;G  ;1242        ;0.00415     ;1244.1      ;    1;   14.59    Mpc ;                       ;        ;2016AJ....152...50T
114;NGC 4629                           ;G  ;1108.9      ;0.003706    ;1110.96     ;    1;   32.961   Mpc ;                       ;redshift;2019A&A...631A..38L
115;LEDA 1440944                       ;G  ;13602       ;0.04645     ;13925.4     ;    1;   13.1     Mpc ;                       ;T-F     ;2011PASP..123.1011A
116;UGC 8298                           ;G  ;1157        ;0.003867    ;1159.24     ;    1;   11.80    Mpc ;                       ;        ;2016AJ....152...50T
117;UGC 8285                           ;G  ;898         ;0.003000    ;899.35      ;    1;   13.30    Mpc ;  -1.20       +1.20    ;T-F     ;2020ApJ...902..145K
118;ESO 323-85                         ;G  ;3126.7      ;0.010485    ;3143.18     ;    1;   11.3     Mpc ;                       ;T-F     ;2014MNRAS.444..527S
119;UGC 8412                           ;G  ;748         ;0.002498    ;748.94      ;    1;   12.9028  Mpc ;                       ;redshift;2019A&A...631A..38L
120;ESO 382-45                         ;G  ;1457.7      ;0.004874    ;1461.26     ;    1;   13.06    Mpc ;  -1.59       +1.59    ;T-F     ;2020ApJ...902..145K
121;ESO 324-23                         ;G  ;1439.8      ;0.004814    ;1443.27     ;    1;   18.62    Mpc ;  -1.59       +1.59    ;T-F     ;2020ApJ...902..145K
122;Z 73-51                            ;G  ;1166        ;0.003897    ;1168.28     ;    1;   14.45    Mpc ;                       ;        ;2008AJ....136..713K
123;LEDA 91299                         ;G  ;1240        ;0.004145    ;1242.58     ;    1;   31.05    Mpc ;                       ;        ;2016AJ....152...50T
124;ESO 384-2                          ;G  ;1391.2      ;0.004651    ;1394.44     ;    1;   15.28    Mpc ;                       ;        ;2016AJ....152...50T
125;ESO 383-91                         ;G  ;1079        ;0.003606    ;1080.95     ;    1;   13.93    Mpc ;  -2.01       +2.01    ;T-F     ;2020ApJ...902..145K
126;NGC 5338                           ;G  ;824         ;0.002752    ;825.14      ;    1;   12.7057  Mpc ;                       ;redshift;2019A&A...631A..38L
127;UGC 9169                           ;G  ;1283        ;0.004289    ;1285.76     ;    1;   10.09    Mpc ;  -0.82       +0.82    ;T-F     ;2020ApJ...902..145K
128;UGC 9273                           ;G  ;1268        ;0.004239    ;1270.69     ;    1;   11.22    Mpc ;                       ;        ;2016AJ....152...50T
129;MCG-01-38-003                      ;G  ;934.2       ;0.003121    ;935.66      ;    1;   13.3     Mpc ;                       ;redshift;2006ApJS..165..307M
130;MCG-01-41-006                      ;G  ;828.8       ;0.002768    ;829.95      ;    1;   14.8     Mpc ;                       ;        ;2011AJ....142...83N
131;NGC 5921                           ;G  ;1480        ;0.004949    ;1483.67     ;    1;   23.9     Mpc ;                       ;redshift;2011MNRAS.413..813C
132;MCG+02-46-012                      ;G  ;2998        ;0.010051    ;3013.14     ;    1;   12.9     Mpc ;                       ;T-F     ;2014MNRAS.444..527S
133;ESO 255-19                         ;G  ;1056.3      ;0.003530    ;1058.17     ;    1;   10.40    Mpc ;                       ;T-F     ;2011ApJS..192....6L
134;ESO 207-7                          ;G  ;1081.9      ;0.003615    ;1083.86     ;    1;   17.78    Mpc ;  -3.44       +3.44    ;T-F     ;2020ApJ...902..145K
135;ESO 202-41                         ;G  ;1659.5      ;0.005551    ;1664.12     ;    1;   11       Mpc ;  -2          +2       ;T-F     ;2008ApJ...676..184T
136;ESO 162-17                         ;G  ;1098.1      ;0.003670    ;1100.12     ;    1;    9.82    Mpc ;  -1.63       +1.63    ;T-F     ;2020ApJ...902..145K
137;ESO 158-3                          ;G  ;1205        ;0.004026    ;1206.96     ;    1;   10.00    Mpc ;                       ;T-F     ;2011ApJS..192....6L
138;IC 1914                            ;G  ;1027.6      ;0.003434    ;1029.37     ;    1;   23.23    Mpc ;                       ;        ;2016AJ....152...50T
139;NGC 1824                           ;G  ;1245.0      ;0.004162    ;1247.60     ;    1;   11.27    Mpc ;  -1.93       +1.93    ;T-F     ;2020ApJ...902..145K
140;ESO 59-10                          ;G  ;10568       ;0.03589     ;10761.0     ;    1;  114.29    Mpc ;                       ;        ;2016AJ....152...50T
141;NGC 2788                           ;G  ;1632.0      ;0.005459    ;1636.47     ;    1;   17.38    Mpc ;  -3.05       +3.05    ;T-F     ;2020ApJ...902..145K
142;ESO 54-21                          ;G  ;1440.3      ;0.004816    ;1443.78     ;    1;   13.18    Mpc ;  -1.90       +1.90    ;T-F     ;2020ApJ...902..145K
143;ESO 36-6                           ;G  ;1142.1      ;0.003817    ;1144.28     ;    1;   13.37    Mpc ;  -2.41       +2.41    ;T-F     ;2020ApJ...902..145K
144;ESO 15-1                           ;G  ;1644.4      ;0.005500    ;1648.93     ;    1;   14.52    Mpc ;  -3.01       +3.01    ;T-F     ;2020ApJ...902..145K
145;ESO 63-11                          ;G  ;1327.0      ;0.004436    ;1329.95     ;    1;   10.47    Mpc ;  -1.41       +1.41    ;T-F     ;2020ApJ...902..145K
146;ESO 150-5                          ;G  ;1433.9      ;0.004794    ;1437.35     ;    1;   13       Mpc ;  -2          +3       ;T-F     ;2008ApJ...676..184T
147;ESO 12-14                          ;G  ;1959.2      ;0.006557    ;1965.64     ;    1;   12.13    Mpc ;  -3.17       +3.17    ;T-F     ;2020ApJ...902..145K
148;ESO 26-1                           ;G  ;2779.2      ;0.009314    ;2792.20     ;    1;   12       Mpc ;  -2          +3       ;T-F     ;2008ApJ...676..184T
149;IC 5256                            ;G  ;950         ;0.003174    ;951.51      ;    1;   10.80    Mpc ;                       ;T-F     ;2011ApJS..192....6L
150;ESO 238-5                          ;G  ;706.7       ;0.002360    ;707.53      ;    1;    8.90    Mpc ;                       ;T-F     ;2011ApJS..192....6L
151;IC 5201                            ;G  ;914.9       ;0.003056    ;916.30      ;    1;    8.43    Mpc ;  -1.29       +1.29    ;T-F     ;2020ApJ...902..145K
152;IC 4951                            ;G  ;814.2       ;0.002720    ;815.31      ;    1;    9.30    Mpc ;                       ;T-F     ;2011ApJS..192....6L
153;NGC 7090                           ;G  ;850.0       ;0.002839    ;851.21      ;    1;    6.19    Mpc ;  -0.78       +0.78    ;T-F     ;2020ApJ...902..145K
154;NGC 7064                           ;G  ;859.8       ;0.002872    ;861.04      ;    1;   10.81    Mpc ;  -1.75       +1.75    ;T-F     ;2020ApJ...902..145K
155;ESO 288-49                         ;G  ;1964.0      ;0.006573    ;1970.48     ;    1;   21.28    Mpc ;  -4.88       +4.88    ;T-F     ;2020ApJ...902..145K
156;ESO 140-19                         ;G  ;954.4       ;0.003189    ;955.92      ;    1;   10.80    Mpc ;                       ;T-F     ;2011ApJS..192....6L
157;ESO 223-12                         ;G  ;1464.7      ;0.004898    ;1468.30     ;    1;   14.66    Mpc ;  -1.32       +1.32    ;T-F     ;2020ApJ...902..145K
158;SINGG HIPASS J0403-43              ;G  ;900.6       ;0.003009    ;901.96      ;    1;   12.0     Mpc ;                       ;redshift;2006ApJS..165..307M
159;LEDA 888024                        ;G  ;855.1       ;0.002856    ;856.32      ;    1;   11.0     Mpc ;                       ;        ;2011AJ....142...83N
160;SINGG HIPASS J1118-17              ;G  ;1068.3      ;0.003570    ;1070.21     ;    1;   13.5     Mpc ;                       ;        ;2011AJ....142...83N
161;SINGG HIPASS J1225-06              ;G  ;1231.4      ;0.004116    ;1233.94     ;    1;   14.3     Mpc ;                       ;redshift;2006ApJS..165..307M
162;SINGG HIPASS J1558-10              ;G  ;936.2       ;0.003128    ;937.67      ;    1;   14.8     Mpc ;                       ;redshift;2006ApJS..165..307M
163;AGC 225880                         ;G  ;1230        ;0.004111    ;1232.53     ;    1;   14.83    Mpc ;                       ;        ;2008AJ....136..713K
164;2MFGC 11695                        ;G  ;4473        ;0.015033    ;4506.87     ;    1;   11.02    Mpc ;  -4.02       +4.02    ;T-F     ;2020ApJ...902..145K
165;HIPASS J0359-45                    ;G  ;897.5       ;0.002998    ;898.85      ;    1;   11.9     Mpc ;                       ;redshift;2006ApJS..165..307M
166;SDSS J104435.27+135622.7           ;G  ;632         ;0.00211     ;632.6       ;    1;   10.40    Mpc ;                       ;redshift;2018MNRAS.479.4136K
167;SDSS J105131.35+140653.2           ;G  ;829         ;0.00277     ;830.4       ;    1;   10.40    Mpc ;                       ;redshift;2018MNRAS.479.4136K
168;SDSS J105204.79+150149.7           ;G  ;826         ;0.00276     ;827.4       ;    1;   10.40    Mpc ;                       ;redshift;2018MNRAS.479.4136K
169;LEDA 1388083                       ;G  ;823         ;0.00275     ;824.4       ;    1;   10.40    Mpc ;                       ;redshift;2018MNRAS.479.4136K
170;LEDA 4000549                       ;G  ;581         ;0.00194     ;581.6       ;    1;   11.00    Mpc ;                       ;redshift;2018MNRAS.479.4136K
171;LEDA 1420152                       ;G  ;626         ;0.00209     ;626.6       ;    1;   10.30    Mpc ;                       ;redshift;2018MNRAS.479.4136K
172;6dFGS gJ123539.4-110402            ;G  ;1122        ;0.00375     ;1124.0      ;    1;   10.00    Mpc ;                       ;redshift;2018MNRAS.479.4136K
173;NGC 5530                           ;G  ;1199.7      ;0.004010    ;1202.11     ;    1;   11.69    Mpc ;  -1.37       +1.37    ;T-F     ;2020ApJ...902..145K
174;AGC 332912                         ;G  ;794         ;0.002652    ;795.05      ;    1;   12.7     Mpc ;                       ;        ;2008AJ....135..588S
175;LEDA 1393002                       ;G  ;897         ;0.002997    ;898.35      ;    1;   10.00    Mpc ;                       ;        ;2008AJ....136..713K
176;LEDA 2807122                       ;G  ;451         ;0.001506    ;451.34      ;    1;   10.20    Mpc ;                       ;redshift;2018MNRAS.479.4136K
177;LEDA 1824266                       ;G  ;454         ;0.001516    ;454.34      ;    1;   10.52    Mpc ;                       ;redshift;2018MNRAS.479.4136K
178;SDSS J103456.12+112932.5           ;G  ;1177        ;0.003934    ;1179.32     ;    1;   10.40    Mpc ;                       ;redshift;2018MNRAS.479.4136K
179;LEDA 1439163                       ;G  ;1307        ;0.004369    ;1309.86     ;    1;   10.40    Mpc ;                       ;mem     ;2017AJ....153....6K
180;SDSS J013800.30+145858.1           ;G  ;743         ;0.002481    ;743.92      ;    1;   10.20    Mpc ;                       ;redshift;2018MNRAS.479.4136K
181;SDSS J092256.97+245647.9           ;G  ;519         ;0.001733    ;519.45      ;    1;   10.40    Mpc ;                       ;redshift;2018MNRAS.479.4136K
182;SDSS J102906.40+265438.5           ;G  ;645         ;0.002154    ;645.70      ;    1;   11.00    Mpc ;                       ;redshift;2018MNRAS.479.4136K
183;SDSS J103052.90+122647.9           ;G  ;915         ;0.003057    ;916.40      ;    1;   10.43    Mpc ;                       ;redshift;2018MNRAS.479.4136K
184;SDSS J103704.93+152016.9           ;G  ;724         ;0.002418    ;724.88      ;    1;   10.40    Mpc ;                       ;redshift;2018MNRAS.479.4136K
