#,identifier,radvel,redshift,cz,distance Q unit
178,SDSS J103456.12+112932.5           ,1177.0,0.003934,1179.32,10.4
179,LEDA 1439163                       ,1307.0,0.004369,1309.86,10.4
180,SDSS J013800.30+145858.1           ,743.0,0.002481,743.92,10.2
181,SDSS J092256.97+245647.9           ,519.0,0.001733,519.45,10.4
182,SDSS J102906.40+265438.5           ,645.0,0.002154,645.7,11.0
183,SDSS J103052.90+122647.9           ,915.0,0.003057,916.4,10.43
184,SDSS J103704.93+152016.9           ,724.0,0.002418,724.88,10.4
185,SDSS J104010.82+045425.6           ,747.0,0.002495,747.93,10.1
186,IC 2791                            ,666.0,0.002224,666.74,10.3
187,AGC 215354                         ,725.0,0.00242,725.5,10.42
188,LEDA 1456468                       ,669.0,0.002234,669.75,10.2
189,LEDA 2167923                       ,644.0,0.00215,644.6,13.27
190,SDSS J123034.00+231219.9           ,624.0,0.002084,624.65,10.4
191,LEDA 3641201                       ,3386.0,0.011359,3405.34,11.02
