#,identifier,radvel,redshift,cz,distance Q unit
65,ESO 321-14                         ,615.0,0.002054,615.63,3.18
66,LEDA 166142                        ,293.0,0.000978,293.14,4.33
67,AGC 239141                         ,326.0,0.001088,326.18,4.92
69,2MASX J13292099-2110452            ,650.0,0.002171,650.71,4.9
70,UGC 8651                           ,203.0,0.000677,202.96,3.14
71,IC 4316                            ,537.0,0.001793,537.48,4.4
72,LEDA 677373                        ,591.0,0.001973,591.58,4.55
74,UGC 8760                           ,190.0,0.000634,190.06,3.22
76,ESO 325-11                         ,545.4,0.001821,545.9,4.43
77,UGC 8833                           ,226.0,0.000754,226.09,3.08
78,ESO 384-16                         ,561.0,0.001873,561.53,4.53
79,LEDA 166185                        ,63.3,0.000211,63.31,1.97
80,UGC 9128                           ,152.0,0.000507,152.04,2.21
83,NAME Argo Dwarf Irregular          ,565.0,0.001886,565.53,4.9
84,ESO 245-5                          ,390.9,0.001305,391.16,4.43
85,ESO 59-1                           ,528.7,0.001765,529.17,4.57
86,NAME LMC                           ,262.2,0.000875,262.31,0.05
87,NGC 1313                           ,469.6,0.001568,469.97,4.15
88,ESO 115-21                         ,514.8,0.001719,515.24,4.99
89,NGC 2915                           ,467.2,0.00156,467.56,3.78
90,NAME SMC                           ,145.6,0.000486,145.64,0.06
91,LEDA 3994669                       ,414.0,0.001382,414.29,3.47
92,IC 3104                            ,429.0,0.001432,429.31,2.28
93,NAME Tuc Galaxy                    ,194.0,0.000647,194.06,0.92
94,ESO 269-37                         ,744.0,0.002485,744.93,3.15
95,ESO 269-58                         ,402.0,0.001342,402.27,3.75
96,ESO 174-1                          ,1382.0,0.004621,1385.2,3.6
97,LEDA 46663                         ,741.0,0.002475,741.92,3.96
98,NAME Fourcade-Figueroa             ,827.4,0.002764,828.54,3.58
99,IC 5152                            ,122.0,0.000407,122.02,1.86
100,LEDA 51659                         ,397.0,0.001325,397.26,3.58
102,ESO 274-1                          ,524.4,0.001751,524.86,3.52
108,NAME Leo T                         ,38.1,0.000127,38.1,0.42
111,LEDA 704814                        ,270.0,0.0009,270.0,3.6
113,AGC 227869                         ,136.0,0.000454,136.03,1.3
115,NAME DDO169NW                      ,242.0,0.000808,242.1,4.33
118,NAME Antlia B                      ,376.0,0.001255,376.24,1.29
119,HIZOA J1353-58                     ,224.0,0.000747,224.08,2.1
120,SDSS J122409.95+261352.7           ,288.0,0.000961,288.14,3.37
121,LEDA 4074723                       ,228.0,0.00076,227.8,4.08
122,LEDA 5057032                       ,242.0,0.000808,242.1,4.33
