Unnamed: 0,#,identifier,radvel,redshift,cz,distance Q unit
475,617,LEDA 1480186                       ,1125.0,0.00376,1127.12,39.99
482,624,LEDA 5057717                       ,5204.0,0.017512,5249.96,39.45
483,625,LEDA 1948571                       ,4804.0,0.016155,4843.11,38.73
516,659,LEDA 1230424                       ,4816.0,0.016196,4855.31,35.81
71,102,LEDA 2816653                       ,23114.0,0.0803,24078.0,42.5
176,244,NGC 7040                           ,6029.0,0.020317,6090.88,40.8
254,346,ESO 434-39                         ,1025.0,0.003425,1026.76,44.87
398,520,ESO 117-19A                        ,6243.0,0.02104,6309.0,41.3
466,612,LEDA 1759841                       ,7492.0,0.025311,7588.0,43.45
542,692,LEDA 5807466                       ,11897.0,0.040504,12142.72,44.46
38,53,UGC 8964                           ,6875.0,0.023202,6955.67,46.99
51,73,UGC 3949                           ,6380.0,0.021513,6449.36,45.92
173,240,Z 414-7                            ,6218.0,0.020961,6283.84,48.75
202,278,UGC 12787                          ,6737.0,0.02273,6814.43,46.13
225,309,Z 500-40                           ,6167.0,0.0208,6232.0,49.89
283,382,LEDA 1647688                       ,6364.0,0.021458,6433.0,45.29
444,584,LEDA 1401917                       ,8737.0,0.02958,8867.9,46.77
450,590,LEDA 1177883                       ,8315.0,0.028131,8433.58,49.43
476,622,LEDA 4374112                       ,7047.0,0.023789,7131.81,48.53
540,690,LEDA 5807967                       ,8876.0,0.030059,9011.38,49.43
118,147,UGC 3264                           ,8643.0,0.029258,8771.26,52.72
136,169,UGC 3658                           ,1184.0,0.003957,1186.35,52.48
196,246,NGC 7065                           ,7384.0,0.024941,7477.12,51.52
262,326,IC 255                             ,7690.0,0.025989,7791.21,54.7
391,487,ESO 442-15                         ,8897.0,0.03013,9032.7,54.2
562,694,LEDA 4720565                       ,1249.0,0.004175,1251.61,51.52
572,704,LEDA 1369352                       ,6904.0,0.0233,6985.2,52.97
578,710,LEDA 4398929                       ,7094.0,0.02395,7179.95,51.05
630,766,LEDA 1566044                       ,8671.0,0.029354,8800.11,54.95
659,795,LEDA 5807477                       ,10056.0,0.034125,10230.46,53.21
138,171,NGC 2373                           ,7633.0,0.025795,7733.15,59.43
202,252,MCG-02-05-043                      ,1821.6,0.006095,1827.17,55.0
231,287,UGC 896                            ,2028.0,0.006788,2034.91,58.88
272,338,Z 463-3                            ,7738.0,0.026153,7840.49,58.08
295,369,Z 496-17                           ,7232.0,0.024421,7321.37,59.7
307,382,LEDA 8450                          ,9829.0,0.0333,9996.0,58.08
356,445,ESO 567-49                         ,6804.0,0.02296,6883.0,59.43
387,483,LEDA 5059221                       ,1816.0,0.006076,1821.53,55.46
514,641,ESO 236-18                         ,6977.0,0.02355,7060.11,57.28
523,651,ESO 387-5                          ,7283.0,0.0246,7374.0,58.08
573,705,LEDA 5059258                       ,1188.0,0.003971,1190.36,58.34
584,716,LEDA 1263785                       ,1619.0,0.005415,1623.4,58.34
611,747,LEDA 1481074                       ,8512.0,0.028808,8636.35,58.08
628,764,LEDA 1553095                       ,6845.0,0.0231,6925.2,55.46
644,780,SDSS J113042.32+211804.6           ,7261.0,0.02452,7350.9,59.39
